Head	CymD.C.HB	CymD.C.HRP	CymD.C.LB	CymD.C.LRP	CymD.C.MRP
phosphate_acetyltransferase	21	9	96	43	55
acetate_kinase	23	26	22	82	63
acetyl-CoA_synthetase	912	1597	335	1476	1032
aldehyde_dehydrogenase	1535	3337	489	2577	1879
alcohol_dehydrogenase	1550	3371	495	2591	1900
KEGG.B01	71	47	5	118	60
KEGG.B02	0	0	0	0	0
KEGG.B03	0	0	0	0	0
KEGG.B04	0	0	0	0	0
KEGG.B05	0	0	0	0	0
KEGG.B06	1	1	0	4	5
KEGG.B07	227	395	68	462	415
KEGG.B08	455	727	106	669	432
KEGG.B09	0	0	0	0	0
KEGG.B10	0	0	0	0	0
KEGG.B11	0	0	0	0	0
KEGG.B12	0	0	0	0	0
KEGG.B13	0	0	0	0	0
KEGG.B14	935	1143	180	1367	883
KEGG.B15	0	0	0	0	0
KEGG.B16	0	0	0	0	0
KEGG.B17	841	904	155	1188	678
KEGG.B18	0	0	0	0	0
KEGG.B19	0	0	0	0	0
KEGG.B20	542	1084	179	1030	854
KEGG.B21	0	0	0	0	0
KEGG.B22	980	1689	343	1532	1086
KEGG.B23	158	320	56	341	344
KEGG.C01	198	356	55	355	340
KEGG.C02	24	31	22	91	69
KEGG.C03	0	0	0	0	0
GH1	53	1137	38	238	145
GH10	0	0	0	0	0
GH100	18	12	9	42	53
GH102	106	154	35	192	111
GH103	322	1889	153	786	603
GH104	0	0	0	0	0
GH105	472	720	107	607	428
GH106	0	0	0	0	0
GH108	0	0	0	0	0
GH109	1502	3201	380	2511	1810
GH110	0	0	0	0	0
GH113	54	73	12	72	57
GH114	269	374	63	360	203
GH116	10	18	4	16	12
GH117	23	42	13	39	36
GH12	26	24	13	79	86
GH120	0	0	0	0	0
GH122	0	0	0	0	0
GH123	3	4	3	13	16
GH125	10	18	4	16	12
GH127	11	18	4	16	14
GH128	0	0	0	0	0
GH129	0	0	0	0	0
GH13	23	40	19	71	71
GH130	59	113	18	116	112
GH133	10	20	6	10	8
GH134	0	0	0	0	0
GH135	0	0	0	0	0
GH136	64	124	14	74	99
GH137	3	4	3	13	16
GH139	3	4	3	13	16
GH13_10	0	0	0	0	0
GH13_11	71	75	22	149	150
GH13_13	0	0	0	0	0
GH13_16	0	0	0	0	0
GH13_18	23	26	22	82	63
GH13_19	0	0	0	0	0
GH13_20	2	1	0	1	2
GH13_23	4	1	2	15	18
GH13_24	0	0	0	0	0
GH13_26	0	0	0	0	0
GH13_3	0	0	0	0	0
GH13_31	0	0	0	0	0
GH13_36	0	0	0	0	0
GH13_4	23	26	22	82	63
GH13_6	0	0	0	0	0
GH13_7	0	0	0	0	0
GH13_9	100	108	41	209	195
GH14	0	0	0	0	0
GH140	12	21	6	10	10
GH141	3	4	3	13	16
GH142	5	8	8	29	31
GH144	0	0	0	0	0
GH145	3	4	3	13	16
GH146	41	1125	34	205	110
GH148	0	0	0	0	0
GH149	0	0	0	0	0
GH15	411	539	87	560	284
GH151	60	102	12	92	72
GH153	0	0	0	0	0
GH16	77	1162	52	317	229
GH17	12	7	5	27	19
GH18	45	53	20	120	121
GH19	0	0	0	0	0
GH2	130	181	28	234	210
GH20	62	104	15	101	81
GH23	530	2136	297	1150	926
GH24	0	0	0	0	0
GH25	0	0	0	0	0
GH26	0	0	0	0	0
GH28	51	67	15	92	74
GH29	24	32	18	94	97
GH3	362	680	131	704	622
GH30	0	0	0	0	0
GH31	0	0	0	0	0
GH32	36	62	12	68	62
GH33	213	349	56	335	338
GH36	0	0	0	0	0
GH37	0	0	0	0	0
GH38	0	0	0	0	0
GH39	0	0	0	0	0
GH4	178	325	52	271	324
GH42	13	22	7	29	28
GH43	47	94	6	64	39
GH43_10	0	0	0	0	0
GH43_12	0	0	0	0	0
GH43_18	0	0	0	0	0
GH43_2	0	0	0	0	0
GH43_23	0	0	0	0	0
GH43_30	0	0	0	0	0
GH43_33	0	0	0	0	0
GH43_34	0	0	0	0	0
GH43_5	41	1125	34	205	110
GH43_9	0	0	0	0	0
GH44	0	0	0	0	0
GH46	0	0	0	0	0
GH49	0	0	0	0	0
GH5	3	4	3	13	16
GH50	64	124	14	74	99
GH51	0	0	0	0	0
GH53	0	0	0	0	0
GH56	0	2	0	3	0
GH57	36	33	101	101	89
GH59	0	0	0	0	0
GH5_13	0	0	0	0	0
GH5_19	0	0	0	0	0
GH5_21	0	0	0	0	0
GH5_22	0	0	0	0	0
GH5_25	0	0	0	0	0
GH5_28	0	0	0	0	0
GH5_34	0	0	0	0	0
GH5_36	0	0	0	0	0
GH5_46	32	33	15	99	102
GH5_48	0	0	0	0	0
GH5_5	3	4	3	13	16
GH5_7	25	24	13	75	81
GH62	0	0	0	0	0
GH63	107	197	42	172	148
GH65	0	0	0	0	0
GH66	0	0	0	0	0
GH67	34	42	6	56	38
GH68	0	0	0	0	0
GH73	146	442	146	320	213
GH74	1254	1644	264	1840	1355
GH75	0	0	0	0	0
GH76	866	938	185	1306	825
GH77	74	83	27	166	135
GH78	62	114	18	98	72
GH8	3	4	3	13	16
GH80	0	0	0	0	0
GH81	0	0	0	0	0
GH82	0	0	0	0	0
GH84	17	28	14	36	37
GH87	0	0	0	0	0
GH88	25	43	13	40	38
GH89	0	0	0	0	0
GH9	0	0	0	0	0
GH91	0	0	0	0	0
GH92	0	0	0	0	0
GH93	0	0	0	0	1
GH94	0	0	0	0	0
GH95	6	5	4	15	18
GH97	0	0	0	0	0
GH98	0	0	0	0	0
GH99	55	70	7	84	69
AA1	0	0	0	0	0
AA10	0	0	0	0	0
AA12	0	0	0	0	0
AA1_3	2	7	1	2	10
AA2	0	0	0	0	0
AA3	0	0	0	0	0
AA3_2	0	0	0	0	0
AA4	0	0	0	0	0
AA5_2	0	0	0	0	0
AA6	0	0	0	0	0
AA7	0	0	0	0	0
CBM11	0	0	0	0	0
CBM12	0	0	0	0	0
CBM13	0	0	0	0	0
CBM14	0	0	0	0	0
CBM15	0	0	0	0	0
CBM16	0	0	0	0	0
CBM17	0	0	0	0	0
CBM2	6	20	1	7	20
CBM20	0	0	0	0	0
CBM21	0	0	0	0	0
CBM22	6	20	1	7	20
CBM23	0	0	0	0	0
CBM24	0	0	0	0	0
CBM28	0	0	0	0	0
CBM29	0	0	0	0	0
CBM3	0	0	0	0	0
CBM32	0	0	0	0	0
CBM34	0	0	0	0	0
CBM35	6	20	1	7	20
CBM37	0	0	0	0	0
CBM38	0	0	0	0	0
CBM39	0	0	0	0	0
CBM4	0	0	0	0	0
CBM40	0	0	0	0	0
CBM41	0	0	0	0	0
CBM43	0	0	0	0	0
CBM44	6	20	1	7	20
CBM47	0	0	0	0	0
CBM48	0	0	0	0	0
CBM5	0	0	0	0	0
CBM50	0	0	0	0	0
CBM51	0	0	0	0	0
CBM53	0	0	0	0	0
CBM54	0	0	0	0	0
CBM56	0	0	0	0	0
CBM57	0	0	0	0	0
CBM6	0	0	0	0	0
CBM61	0	0	0	0	0
CBM63	0	0	0	0	0
CBM66	0	0	0	0	0
CBM67	0	0	0	0	0
CBM69	0	0	0	0	0
CBM70	0	0	0	0	0
CBM73	0	0	0	0	0
CBM77	0	0	0	0	0
CBM78	0	0	0	0	0
CBM8	0	0	0	0	0
CBM80	0	0	0	0	0
CBM81	0	0	0	0	0
CBM9	0	0	0	0	0
CE1	0	0	0	0	0
CE10	0	0	0	0	0
CE11	0	0	0	0	0
CE12	0	0	0	0	0
CE13	0	0	0	0	0
CE14	4	13	0	4	10
CE15	0	0	0	0	0
CE16	0	0	0	0	0
CE2	0	0	0	0	0
CE3	0	0	0	0	0
CE4	0	0	0	0	0
CE5	0	0	0	0	0
CE6	0	0	0	0	0
CE7	0	0	0	0	0
CE8	0	0	0	0	0
CE9	0	0	0	0	0
GT1	0	0	0	0	0
GT10	0	0	0	0	0
GT102	0	0	0	0	0
GT104	0	0	0	0	0
GT105	0	0	0	0	0
GT11	0	0	0	0	0
GT12	0	0	0	0	0
GT13	0	0	0	0	0
GT14	0	0	0	0	0
GT17	0	0	0	0	0
GT19	0	0	0	0	0
GT20	0	0	0	0	0
GT21	0	0	0	0	0
GT22	0	0	0	0	0
GT25	0	0	0	0	0
GT26	0	0	0	0	0
GT27	0	0	0	0	0
GT28	0	0	0	0	0
GT29	0	0	0	0	0
GT2_Chitin_synth_1	0	0	0	0	0
GT2_Glyco_tranf_2_2	0	0	0	0	0
GT2_Glyco_tranf_2_3	6	20	1	7	20
GT2_Glyco_tranf_2_4	0	0	0	0	0
GT2_Glyco_tranf_2_5	0	0	0	0	0
GT2_Glyco_trans_2_3	0	0	0	0	0
GT2_Glycos_transf_2	0	0	0	0	0
GT3	0	0	0	0	0
GT30	0	0	0	0	0
GT32	0	0	0	0	0
GT33	0	0	0	0	0
GT35	0	0	0	0	0
GT39	0	0	0	0	0
GT4	6	20	1	7	20
GT40	0	0	0	0	0
GT41	0	0	0	0	0
GT44	0	0	0	0	0
GT45	0	0	0	0	0
GT46	0	0	0	0	0
GT47	0	0	0	0	0
GT5	0	0	0	0	0
GT51	0	0	0	0	0
GT55	0	0	0	0	0
GT57	0	0	0	0	0
GT58	0	0	0	0	0
GT62	0	0	0	0	0
GT64	0	0	0	0	0
GT66	0	0	0	0	0
GT69	0	0	0	0	0
GT7	0	0	0	0	0
GT70	0	0	0	0	0
GT73	0	0	0	0	0
GT74	0	0	0	0	0
GT75	0	0	0	0	0
GT76	0	0	0	0	0
GT77	0	0	0	0	0
GT78	0	0	0	0	0
GT8	0	0	0	0	0
GT81	0	0	0	0	0
GT83	0	0	0	0	0
GT87	0	0	0	0	0
GT89	0	0	0	0	0
GT9	0	0	0	0	0
GT90	0	0	0	0	0
GT92	0	0	0	0	0
GT94	0	0	0	0	0
GT97	0	0	0	0	0
GT99	0	0	0	0	0
PL1	0	0	0	0	0
PL10	0	0	0	0	0
PL10_3	0	0	0	0	0
PL11	0	0	0	0	0
PL12	0	0	0	0	0
PL12_3	0	0	0	0	0
PL14	0	0	0	0	0
PL14_3	0	0	0	0	0
PL15	0	0	0	0	0
PL15_2	0	0	0	0	0
PL17	0	0	0	0	0
PL17_2	0	0	0	0	0
PL1_2	0	0	0	0	0
PL1_7	0	0	0	0	0
PL2	0	0	0	0	0
PL20	0	0	0	0	0
PL21	0	0	0	0	0
PL22	0	0	0	0	0
PL22_1	0	0	0	0	0
PL22_2	0	0	0	0	0
PL25	0	0	0	0	0
PL27	0	0	0	0	0
PL3	0	0	0	0	0
PL3_1	0	0	0	0	0
PL3_4	0	0	0	0	0
PL5	0	0	0	0	0
PL5_1	0	0	0	0	0
PL6	0	0	0	0	0
PL6_1	0	0	0	0	0
PL6_2	0	0	0	0	0
PL7	0	0	0	0	0
PL7_1	0	0	0	0	0
PL9	0	0	0	0	0
PL9_1	0	0	0	0	0
PL9_2	0	0	0	0	0
PL9_4	0	0	0	0	0
SLH	0	0	0	0	0
cohesin	0	0	0	0	0
dockerin	0	0	0	0	0
A08	896	2489	280	1657	1262
A22B	6	12	1	4	8
A24A	250	514	111	474	467
A24B	0	0	0	0	0
A24X	0	0	0	0	0
A28B	0	0	0	0	0
A31	29	109	48	89	80
A32	23	26	22	82	63
C01A	378	321	54	563	397
C01B	889	1061	173	1269	863
C01X	0	0	0	0	0
C110	37	44	23	103	79
C13	0	0	0	0	0
C14B	67	40	5	110	54
C25	0	0	0	0	0
C26	1547	3377	494	2566	1890
C39	0	0	0	0	0
C40	94	95	34	218	149
C44	1290	2984	411	2189	1546
C45	10	18	4	16	12
C51	0	0	0	0	0
C56	94	1188	69	348	222
C59	0	0	0	0	0
C60A	0	0	0	0	0
C69	67	40	5	110	54
C82A	214	1515	101	550	441
C82B	0	0	0	0	0
C93	23	26	22	82	63
C97	0	0	0	0	0
I01	0	0	0	0	0
I02	12	12	4	33	34
I11	0	0	0	0	0
I13	0	0	0	0	0
I39	106	148	48	240	207
I42	0	0	0	0	0
I51	117	294	70	255	270
I75	0	0	0	0	0
I78	0	0	0	0	0
I87	585	2231	196	1166	985
M01	1185	3006	310	1915	1377
M02	29	33	2	40	36
M03A	266	1892	137	619	486
M03B	179	173	28	309	211
M03X	0	0	0	0	0
M04	0	0	0	0	0
M06	0	0	0	0	0
M09B	0	0	0	0	0
M10A	23	26	22	82	63
M10B	0	0	0	0	0
M10X	0	0	0	0	0
M12A	0	0	0	0	0
M12B	0	0	0	0	0
M13	0	0	0	0	0
M14A	113	175	26	185	176
M14B	69	117	8	83	61
M14C	0	0	0	0	0
M15B	2	3	0	3	1
M15C	1	14	5	1	17
M15D	32	47	19	87	111
M16A	0	0	0	0	0
M16B	303	1764	129	688	447
M16C	0	0	0	0	0
M17	483	2112	183	974	833
M18	142	329	77	287	257
M19	389	716	85	582	575
M20A	1192	1722	279	1888	1231
M20B	0	0	0	0	0
M20C	6	21	1	7	23
M20D	281	503	97	539	509
M20F	58	112	10	80	51
M20X	289	501	71	531	456
M23A	0	0	0	0	0
M23B	339	1771	243	814	596
M24A	1270	3009	414	2104	1563
M24B	1309	3011	345	2164	1542
M28A	0	0	0	0	0
M28B	91	139	9	118	85
M28D	137	197	38	253	226
M28E	0	0	0	0	0
M28F	162	273	24	197	196
M28X	0	0	0	0	0
M29	25	29	12	60	79
M30	6	13	1	4	8
M32	120	104	16	213	118
M36	0	0	0	0	0
M38	508	2229	195	1044	876
M41	1046	2707	367	1823	1457
M42	188	316	57	292	269
M43B	2	2	1	5	6
M48A	177	1636	119	465	320
M48B	100	1477	80	351	222
M48C	80	326	40	212	131
M48X	0	0	0	0	0
M49	90	136	9	115	84
M50A	0	0	0	0	0
M50B	265	1847	216	666	528
M50X	0	0	0	0	0
M54	0	0	0	0	0
M55	49	95	13	80	58
M56	0	0	0	0	0
M57	0	0	0	0	0
M60	0	0	0	0	0
M61	0	0	0	0	0
M64	43	47	3	60	51
M66	46	89	6	56	33
M67A	8	12	4	20	24
M67B	401	380	63	595	439
M67C	0	0	0	0	0
M72	0	0	0	0	0
M75	13	22	10	28	36
M78	0	0	0	0	0
M79	435	399	64	629	448
M81	213	425	46	343	300
M82	24	17	11	60	75
M90	36	47	27	93	73
M97	90	136	9	115	84
M98	0	0	0	0	0
N06	120	165	64	262	212
N09	1	14	5	1	17
N10	0	0	0	0	0
N11	0	0	0	0	0
P01	883	1037	147	1236	819
S01A	0	0	0	0	0
S01B	236	320	68	341	145
S01C	984	1208	224	1614	1282
S01D	0	0	0	0	0
S01E	0	0	0	0	0
S08A	167	266	43	292	248
S08B	6	11	1	4	6
S09A	653	766	201	975	821
S09B	174	293	33	219	216
S09C	1364	1768	391	2039	1451
S09D	120	168	22	197	173
S09X	1484	3042	446	2427	1732
S10	4	3	2	7	6
S11	135	357	44	313	192
S12	450	789	111	693	646
S13	58	73	42	165	176
S14	1429	3238	365	2343	1709
S15	124	240	35	215	208
S16	1241	2919	340	2148	1494
S24	1241	2961	326	2113	1500
S26A	312	720	221	653	581
S26B	0	0	0	0	0
S26C	0	0	0	0	0
S33	1429	3139	452	2396	1718
S41A	361	1685	230	809	635
S41B	67	105	18	111	102
S45	136	170	16	221	131
S46	88	1214	40	261	144
S49A	0	0	0	0	0
S49B	142	238	159	317	251
S49C	852	912	140	1215	694
S49X	0	0	0	0	0
S51	160	262	37	219	186
S54	876	1117	245	1415	1195
S55	30	37	2	49	41
S66	25	24	13	75	81
S77	0	0	0	0	0
S78	0	0	0	0	0
T01A	16	43	11	30	65
T01B	307	447	99	603	502
T01X	4	13	0	4	10
T02	275	486	90	526	516
T03	1391	1787	287	2093	1479
T05	1140	2876	299	1897	1381
U32	250	346	102	518	433
U56	0	0	0	0	0
U62	1294	2844	316	2228	1493
U69	35	38	26	115	97
U72	18	31	9	36	36
U73	23	26	22	82	63
