Head	CymS.D.B	CymS.D.HRP.1	CymS.D.LRP.1
GH62	0	0	0
GH63	38	28	33
GH65	0	0	0
GH66	0	0	0
GH67	12	10	11
GH68	0	0	0
GH73	34	87	75
GH74	1425	1215	1482
GH75	0	0	0
GH76	126	114	129
GH77	14	25	30
GH78	27	21	24
GH8	3	3	3
GH80	0	0	0
GH81	0	0	0
GH82	0	0	0
GH84	26	22	23
GH87	0	0	0
GH88	19	17	17
GH89	0	0	0
GH9	0	0	0
GH91	0	0	0
GH92	0	0	0
GH93	5	4	5
GH94	0	0	0
GH95	11	9	10
GH97	0	0	0
GH98	0	0	0
GH99	14	14	16
A08	231	262	277
A22B	10	5	8
A24A	134	143	147
A24B	0	0	0
A24X	0	0	0
A28B	0	0	0
A31	5	38	23
A32	9	31	35
C01A	7	6	9
C01B	94	71	87
C01X	0	0	0
C110	10	20	23
C13	0	0	0
C14B	18	17	21
C25	0	0	0
C26	1646	1771	1902
C39	0	0	0
C40	18	29	57
C44	432	514	537
C45	3	2	2
C51	0	0	0
C56	31	41	45
C59	0	0	0
C60A	0	0	0
C69	12	12	14
C82A	60	85	118
C82B	0	0	0
C93	4	16	18
C97	0	0	0
I01	0	0	0
I02	9	7	8
I11	0	0	0
I13	0	0	0
I39	81	75	88
I42	0	0	0
I51	53	69	59
I75	0	0	0
I78	0	0	0
I87	494	542	594
M01	172	207	213
M02	4	4	6
M03A	49	97	95
M03B	74	67	75
M03X	0	0	0
M04	0	0	0
M06	0	0	0
M09B	0	0	0
M10A	4	16	18
M10B	0	0	0
M10X	0	0	0
M12A	0	0	0
M12B	0	0	0
M13	0	0	0
M14A	28	24	40
M14B	49	35	41
M14C	0	0	0
M15B	4	4	4
M15C	0	0	11
M15D	25	20	34
M16A	0	0	0
M16B	89	137	142
M16C	0	0	0
M17	173	204	210
M18	28	63	51
M19	95	87	111
M20A	387	434	494
M20B	0	0	0
M20C	15	11	13
M20D	202	177	197
M20F	35	26	33
M20X	112	109	128
M23A	0	0	0
M23B	297	441	428
M24A	275	292	313
M24B	382	363	400
M28A	0	0	0
M28B	18	16	19
M28D	84	69	86
M28E	0	0	0
M28F	61	49	59
M28X	0	0	0
M29	51	37	40
M30	21	15	15
M32	43	37	45
M36	0	0	0
M38	226	342	368
M41	315	329	350
M42	39	45	51
M43B	2	1	2
M48A	51	107	117
M48B	38	60	59
M48C	43	79	83
M48X	0	0	0
M49	17	16	20
M50A	0	0	0
M50B	74	155	143
M50X	0	0	0
M54	0	0	0
M55	11	8	10
M56	0	0	0
M57	0	0	0
M60	0	0	0
M61	0	0	0
M64	8	8	10
M66	6	4	6
M67A	9	7	9
M67B	31	22	28
M67C	0	0	0
M72	0	0	0
M75	2	3	14
M78	0	0	0
M79	27	28	32
M81	72	72	81
M82	86	62	65
M90	18	27	29
M97	14	12	16
M98	0	0	0
N06	110	132	125
N09	0	0	11
N10	0	0	0
N11	0	0	0
P01	69	57	74
S01A	0	0	0
S01B	30	48	37
S01C	199	228	274
S01D	0	0	0
S01E	0	0	0
S08A	92	75	83
S08B	8	4	6
S09A	143	121	142
S09B	54	44	53
S09C	388	370	418
S09D	36	28	36
S09X	585	599	658
S10	10	9	10
S11	83	111	120
S12	337	302	354
S13	63	57	75
S14	356	341	371
S15	49	42	50
S16	412	447	483
S24	254	303	336
S26A	181	218	219
S26B	0	0	0
S26C	0	0	0
S33	850	890	988
S41A	197	220	228
S41B	52	38	42
S45	54	46	54
S46	9	9	9
S49A	0	0	0
S49B	54	89	81
S49C	66	60	72
S49X	0	0	0
S51	85	73	81
S54	167	167	210
S55	8	8	10
S66	16	12	14
S77	0	0	0
S78	0	0	0
T01A	31	23	39
T01B	171	165	182
T01X	5	3	4
T02	196	155	175
T03	687	642	764
T05	145	180	194
U32	146	163	180
U56	0	0	0
U62	462	454	511
U69	14	23	25
U72	18	13	17
U73	4	16	18
