Head	CymD.D.LB	CymD.D.LRP	CymD.D.MRP	CymS.D.B	CymS.D.HRP.1	CymS.D.LRP.1
TIGR02378	25.7388130261608	21.4125356980743	21.2506977334349	18.2554504510597	44.3300867333313	43.0746822569934
TIGR02376	0	0	0	0	0	0
nitrite_reductase_nirS	0	0	0	0	0	0
nitric_oxide_reductase_norB	6.14575312007778	2.88256572831406	2.01239317858465	4.48281388850639	15.7375360413513	17.721721850084
nitric_oxide_reductase_norC	32.8882969538408	23.0531749774353	20.9326658199419	17.9609178102894	13.3001480448558	15.5145780755001
PF05048	0	0	0	0	0	0
TIGR04247	0	0	0	0	0	0
TIGR04246	0	0	0	0	0	0
hydrazine_oxidase_hzoA	0	0	0	0	0	0
hydrazine_synthase_hzsA	0	0	0	0	0	0
TIGR04315	0	0	0	0	0	0
TIGR02891	289.261435979409	310.718419129859	230.800958418333	155.681881296074	175.461220264179	183.178104509781
TIGR02866	271.655783299163	267.746308002786	202.427642648795	164.196408675397	181.911008082116	182.611513539312
TIGR00780	31.5839057048617	26.8075413898881	24.8969294496385	20.3480270522726	94.4472008949632	78.748305296403
TIGR00781	19.2923994647061	21.04240993326	20.8721430924692	11.3823992752598	62.9721288122606	43.304861596235
TIGR00782	110.390760420007	105.194807662908	78.7257185174712	64.7969249427787	118.740495263261	111.674380137713
TIGR01433	6.14575312007778	2.88256572831406	2.01239317858465	4.48281388850639	15.7375360413513	17.721721850084
TIGR02847	6.14575312007778	2.88256572831406	2.01239317858465	4.48281388850639	15.7375360413513	17.721721850084
TIGR01473	400.300407297637	388.951448204291	292.611689314364	234.517347925222	249.905253634729	264.194738352456
PF01654	23.1236777240809	18.0591586309763	12.1920293891806	10.9030733897658	20.2442642836486	34.4722153038128
TIGR00203	6.15535447678077	2.90391911429919	2.10366367573046	4.48830712434191	15.7681499022006	28.5199340345167
TIGR01432	0	0	0	0	0	0
TIGR02882	0	0	0	0	0	0
methanol_dehydrogenase_pqq_xoxF_mxaF	251.357828080279	231.011414059519	178.133600917378	156.850698135363	194.025806301716	228.4737788941
TIGR04266	0	0	0	0	0	0
TIGR02659	7.70298761930116	4.96727932588014	3.40528652985668	8.08514531076116	19.305619661952	21.7629125494841
TIGR02658	1.55723449922338	2.08471359756608	1.39289335127203	3.60233142225477	3.56808362060072	4.04119069940011
TIGR02819	0	0	0	0	0	0
TIGR02821	10.9874534423646	10.5386408473092	8.18381002123205	11.7633438081302	10.2144091063618	11.2101451623829
TIGR02818	34.4495914864831	38.8038115351482	29.1361021855075	33.830453733282	34.2778651003622	37.6182404651564
TIGR03451	100.408459965633	105.904266285002	73.8377267571332	37.3433565224825	34.8209217301513	43.813341373905
TIGR03126	18.4372593602333	8.64769718494218	6.03717953575395	13.4484416655192	47.2126081240539	53.165165550252
TIGR03119	6.14575312007778	2.88256572831406	2.01239317858465	4.48281388850639	15.7375360413513	17.721721850084
TIGR03120	6.14575312007778	2.88256572831406	2.01239317858465	4.48281388850639	15.7375360413513	17.721721850084
TIGR01591	121.56568505615	144.566786819544	113.553558041811	91.7853372291646	103.723602515706	121.016081464096
TIGR01582	27.3056615500778	29.6518250800202	23.631921011412	17.6342415277045	15.912623643101	19.8571195905355
TIGR01583	46.9442339032353	65.5453754742799	43.1376642286533	33.6586923258687	32.2756829482079	40.395470547816
carbon_monoxide_dehydrogenase_coxS	1134.31438636101	1191.64134731379	874.736809574051	658.306285320733	571.820962289714	684.079150843428
carbon_monoxide_dehydrogenase_coxM	913.329348208058	904.502029489167	672.852462228891	589.834038447823	506.376273641666	588.630797790131
TIGR02416	1506.76838101802	1638.91769111975	1140.61431992478	753.961857894891	675.956653872344	826.249852645317
rubisco_form_I	7.0369032250018	9.78837102910267	10.3203104538773	3.30782579250632	17.1144508050941	10.7482004573167
rubisco_form_II	0	0	0	0	0	0
rubisco_form_II_III	0	0	0	0	0	0
rubisco_form_III	0	0	0	0	0	0
rubisco_form_IV	0	0	0	0	0	0
TIGR00381	0	0	0	0	0	0
TIGR00316	0	0	0	0	0	0
TIGR01702	0	0	0	0	0	0
acetate_citrate_lyase_aclA	0	0	0	0	0	0
acetate_citrate_lyase_aclB	0	0	0	0	0	0
TIGR01792	67.8221412533768	65.4691821054907	52.3589363529685	61.8295270763989	99.5746378670603	112.368342554111
TIGR00192	80.8176475341075	74.4205010611801	61.4372323919527	74.3564131998252	110.454284374677	124.323317387335
TIGR00193	80.8176475341075	74.4205010611801	61.4372323919527	74.3564131998252	110.454284374677	124.323317387335
TIGR01428	798.127669980027	850.073399074473	617.413845910651	555.432623946155	512.088488788181	590.606781821851
TIGR02486	182.296023576417	214.338124287395	169.326572293886	95.2783459591104	100.144093861217	120.990389866025
TIGR03479	41.3396315469342	32.5193247588588	27.1303618387984	20.118298690747	17.0093508154697	19.7176271500247
TIGR03478	20.6698157734671	16.2596623794294	13.5651809193992	10.0591493453735	8.50467540773483	9.85881357501233
PF06778	208.17361336759	204.685547844467	153.120975230791	118.800913752235	99.2893325056023	119.533264697986
TIGR02694	0	0	0	0	0	0
TIGR02693	0	0	0	0	0	0
TIGR00014	99.1085929681005	101.710263741681	77.5571402162585	73.9861179669326	108.827846449092	119.13299976516
TIGR02691	39.7566186314155	28.5285091472673	23.2786439471038	20.5773842193022	28.1400932811897	32.4556699894599
TIGR02689	0	0	0	0	0	0
TIGR03312	0	0	0	0	0	0
TIGR03313	11.9711798605866	11.4756266889887	11.804576516141	6.16333355234059	3.94978693052072	5.88606654162413
TIGR03315	48.1104942758346	34.408842763121	23.20562137723	43.2121393444347	30.6007892556269	32.5724523753206
TIGR01323	236.326122943961	258.991416763681	190.2006582485	152.172483859513	139.595741917726	165.404789782185
TIGR03888	57.0219490681492	66.4991435387465	57.1289304013284	49.4461249383357	54.8494924476145	60.7650533109259
TIGR03507	0	0	0	0	0	0
TIGR03509	0	0	0	0	0	0
MtrB_TIGR03509	0	0	0	0	0	0
Cyc1	88.8713550382477	89.3152159356162	81.1146592566644	65.045137453479	107.414297199545	104.837223290605
Cyc2_repCluster1	0	0	0	0	0	0
Cyc2_repCluster2	0	0	0	0	0	0
Cyc2_repCluster3	0	0	0	0	0	0
FoxA	0	0	0	0	0	0
FoxB	0	0	0	0	0	0
FoxC	0	0	0	0	0	0
FoxE	0	0	0	0	0	0
FoxY	28.2433711793097	35.2757465998751	29.7766320672679	17.5849331387344	20.2630443851018	23.1127741622157
FoxZ	107.149525623399	101.909911014259	63.8452406509476	101.739396341976	79.5414865371787	86.9182989039741
MtoA	0	0	0	0	0	0
Sulfocyanin	0	0	0	0	0	0
Manganese_oxidase_K06324	0	0	0	0	0	0
Manganese_oxidase_K22348	16.9034270485853	32.8861353965464	23.6167874840117	13.218752668651	14.8473544636752	19.2623566548585
Manganese_oxidase_K22349	47.4587774086946	55.0236939849457	39.4546930433038	10.3837938652233	7.68180828162277	12.8911268933765
Manganese_oxidase_K22350	0	0	0	0	0	0
assA	0	0	0	0	0	0
masD	0	0	0	0	0	0
lactate_dehydrogenase	72.5320878631354	108.211591399013	66.9386932147243	64.8011740513745	75.3425440671736	90.041392865219
phosphate_acetyltransferase	58.8098434208455	73.7487898256201	55.9971350870512	42.2758767997238	48.7202788086146	53.315946913137
acetate_kinase	12.2915062401556	5.76513145662812	4.0247863571693	8.96562777701278	31.4750720827026	35.443443700168
acetyl-CoA_synthetase	350.729774382421	368.217612981662	269.934530136908	231.442577959503	259.724995047749	285.541104474154
aldehyde_dehydrogenase	2046.94187507966	2173.42121013504	1642.37610744137	1482.29040852385	1724.17746275658	1894.89512126956
alcohol_dehydrogenase	2058.56008430494	2163.39198505212	1574.46667038866	1445.95181771516	1649.69299082464	1843.93618072564
KEGG.B01	19.8661002437973	31.4711747119384	18.7136712582339	18.6799174582638	19.4475336482147	23.2463219411028
KEGG.B02	0	0	0	0	0	0
KEGG.B03	0	0	0	0	0	0
KEGG.B04	0	0	0	0	0	0
KEGG.B05	0	0	0	0	0	0
KEGG.B06	0.627772958629008	0.951902061090719	0.633589269506068	2.87057535756466	3.45593844745558	3.45549684085138
KEGG.B07	98.1607191585722	106.944166144343	83.5314503600098	65.35562464458	61.0685888053963	72.2174049654703
KEGG.B08	160.949782924071	142.317293791319	103.631631676278	63.5191656685246	50.3208863978326	63.6677834955335
KEGG.B09	0	0	0	0	0	0
KEGG.B10	0	0	0	0	0	0
KEGG.B11	0	0	0	0	0	0
KEGG.B12	0	0	0	0	0	0
KEGG.B13	0	0	0	0	0	0
KEGG.B14	150.847586720024	157.948852206401	112.661096706874	78.8064702347151	71.8951602876531	86.6038498599656
KEGG.B15	0	0	0	0	0	0
KEGG.B16	0	0	0	0	0	0
KEGG.B17	197.287232191171	221.798566857858	166.001382865775	87.6097928553445	75.7189183369296	96.1166732234933
KEGG.B18	0	0	0	0	0	0
KEGG.B19	0	0	0	0	0	0
KEGG.B20	577.638432340697	540.071616482345	414.51577960409	414.861704435155	426.103727380068	441.59101277735
KEGG.B21	0	0	0	0	0	0
KEGG.B22	485.684072623712	481.356079992791	351.225649890313	313.516946340678	330.374394655491	364.777900978385
KEGG.B23	70.9365706180762	62.7549920624055	53.6466766618762	41.564032357607	37.8604282105713	44.4225507452448
KEGG.C01	447.50688742663	407.360423523252	331.872969094978	365.375163170065	309.754673669733	349.522350335897
KEGG.C02	15.4059752386023	9.93455865176028	6.81057305971336	16.1702906215223	38.611239323904	43.5258250989682
KEGG.C03	0	0	0	0	0	0
GH1	17.2587548960445	16.0485066456375	15.0977227635739	11.7960800850026	10.9960056239865	11.0851580783701
GH10	0	0	0	0	0	0
GH100	48.1104942758346	34.408842763121	23.20562137723	43.2121393444347	30.6007892556269	32.5724523753206
GH102	23.6724206657742	42.1950542367946	23.8500618674116	20.3369596670181	43.343054593576	31.615998465413
GH103	128.960471891354	134.499207683091	109.714703198017	82.1313626603707	144.152082837186	142.896978142967
GH104	0	0	0	0	0	0
GH105	99.357749906581	90.907367532832	68.1472809520283	73.6599671779627	64.2131201704847	72.3440185387231
GH106	0	0	0	0	0	0
GH108	0	0	0	0	0	0
GH109	2846.70303601518	2738.98901359678	2102.09650978118	2094.81329496314	1877.09530055622	2127.7124819085
GH110	0	0	0	0	0	0
GH113	4.05110029120855	3.92631768625485	3.52586785022495	13.3416559763144	17.3328080897743	17.0713105170836
GH114	71.0926328955219	67.383981148491	48.6076193342924	25.5032744754081	18.2520080840397	23.9462630088861
GH116	4.19807412809392	3.47330459119688	3.4310402955845	5.65936368854754	4.14710635294142	4.7271632714092
GH117	17.784267376073	12.843876216512	12.863915583949	20.8565998869524	17.9321797606069	19.7415500841235
GH12	24.0590521679545	17.1500203502487	14.574144715924	19.0668553969513	15.6288377779447	17.3370004070951
GH120	0	0	0	0	0	0
GH122	0	0	0	0	0	0
GH123	0.590686967248379	0.419252669625766	0.354579249380214	2.67035007497859	2.90542690004898	3.05941197949011
GH125	2.09903706404696	1.73665229559844	1.71552014779225	2.82968184427377	2.07355317647071	2.3635816357046
GH127	5.99564866947865	4.63312015913436	7.89045307947209	5.42954732481376	4.22363825128869	4.9359033576721
GH128	0	0	0	0	0	0
GH129	0	0	0	0	0	0
GH13	34.8224840649007	26.511391866951	23.4258713947304	19.5877952481842	16.4130487592209	18.9548175616517
GH130	13.9849737795505	18.983490149556	14.9809586311372	16.594471359772	17.1697029810333	20.2178845691538
GH133	12.4048193134823	8.53206628606363	8.72371678960403	9.85653604844773	7.97421960756753	8.89556285373404
GH134	0	0	0	0	0	0
GH135	0	0	0	0	0	0
GH136	9.78321008774614	9.15229034120166	8.82286988758182	4.46721209071143	3.78856568729734	4.7120631299092
GH137	1.18137393449676	0.838505339251532	0.709158498760428	5.34070014995718	5.81085380009796	6.11882395898022
GH139	0.590686967248379	0.419252669625766	0.354579249380214	2.67035007497859	2.90542690004898	3.05941197949011
GH13_10	0	0	0	0	0	0
GH13_11	82.9932398716417	70.7852277959426	55.6561895641887	61.2688549805714	47.4501584194579	53.7760407394774
GH13_13	0	0	0	0	0	0
GH13_16	0	0	0	0	0	0
GH13_18	6.14575312007778	2.88256572831406	2.01239317858465	4.48281388850639	15.7375360413513	17.721721850084
GH13_19	0	0	0	0	0	0
GH13_20	2.13667665552968	1.476217217724	1.41602626867977	3.58909474996661	3.66818863596752	2.68784310256312
GH13_23	35.7655867958744	25.1192322110028	16.7607352325866	37.7928320199248	27.251551606503	27.8276084836832
GH13_24	0	0	0	0	0	0
GH13_26	0	0	0	0	0	0
GH13_3	0	0	0	0	0	0
GH13_31	0	0	0	0	0	0
GH13_36	0	0	0	0	0	0
GH13_4	6.14575312007778	2.88256572831406	2.01239317858465	4.48281388850639	15.7375360413513	17.721721850084
GH13_6	0	0	0	0	0	0
GH13_7	0	0	0	0	0	0
GH13_9	113.343433964353	84.8307961720025	64.2691547933749	106.550559891306	93.1007107880685	99.5688362872243
GH14	0	0	0	0	0	0
GH140	14.541495969012	10.0082835037876	10.1397430582838	13.4456307984143	11.6424082435351	11.5834059562972
GH141	0.590686967248379	0.419252669625766	0.354579249380214	2.67035007497859	2.90542690004898	3.05941197949011
GH142	22.4906239492748	16.6322559488476	15.6771588999005	6.4866624276291	4.89883675433219	6.08564729553282
GH144	0	0	0	0	0	0
GH145	1.18137393449676	0.838505339251532	0.709158498760428	5.34070014995718	5.81085380009796	6.11882395898022
GH146	5.47486716887679	7.96263613794588	8.17904735080081	2.76241887896463	4.12685063575252	3.35105266742179
GH148	0	0	0	0	0	0
GH149	0	0	0	0	0	0
GH15	110.18902529452	107.28708414121	76.3054543376019	46.4082849887713	34.8068432917987	45.0710072254223
GH151	59.6210849570384	50.0780476206814	38.5335710919713	25.5528585884624	17.6594063182723	22.1393786200711
GH153	0	0	0	0	0	0
GH16	58.7309679864296	48.2580021795786	40.821115738983	33.4694367627416	28.0325496318235	31.5339062527533
GH17	1.70020378985563	4.52936551059281	2.45499017959753	2.15048984155851	2.92951614171842	3.55879602592848
GH18	55.3367604058606	41.1644099076009	37.01834331842	27.7238037377712	20.3363173238027	24.4220857983169
GH19	0	0	0	0	0	0
GH2	71.7163186019222	64.2814881201694	54.7104242002091	46.7414583901443	38.9453211952959	47.3090048796247
GH20	29.4309555416203	24.0289937787162	17.8441462912608	17.9490709496181	13.7708052177623	15.6724616303439
GH23	581.789613797864	597.087061954809	446.665091303878	476.851374487302	593.683170944177	620.06777155212
GH24	0	0	0	0	0	0
GH25	0	0	0	0	0	0
GH26	0	0	0	0	0	0
GH28	38.9091346183967	35.0939280762951	27.8048894309884	43.7113903987634	36.5194236888239	39.5818002862336
GH29	34.2015524785861	26.065196088579	21.6208300178994	18.7649204057744	15.3079841398874	17.793360118866
GH3	273.560102070063	245.928710890342	202.410346734456	160.696474919629	175.674422539474	202.828680222459
GH30	0	0	0	0	0	0
GH31	0	0	0	0	0	0
GH32	21.0974163820301	17.9447567028455	15.9370139582826	35.2654690174788	33.5440413007856	35.5437169178051
GH33	321.574645232122	244.927432844625	222.54174805988	232.601608962763	191.936733701373	206.207106924244
GH36	0	0	0	0	0	0
GH37	0	0	0	0	0	0
GH38	0	0	0	0	0	0
GH39	0	0	0	0	0	0
GH4	59.5930511090287	47.1998430884594	44.5563971116641	52.0323048904801	43.2906814836722	48.8302493368821
GH42	3.28041099854372	2.57515763484997	2.42467864655268	8.17038199423095	7.88440697656867	8.48240559468482
GH43	18.5255577465235	17.2399531142432	11.4812590647221	10.0170976876786	8.04419800204876	9.99347196869619
GH43_10	0	0	0	0	0	0
GH43_12	0	0	0	0	0	0
GH43_18	0	0	0	0	0	0
GH43_2	0	0	0	0	0	0
GH43_23	0	0	0	0	0	0
GH43_30	0	0	0	0	0	0
GH43_33	0	0	0	0	0	0
GH43_34	0	0	0	0	0	0
GH43_5	5.47486716887679	7.96263613794588	8.17904735080081	2.76241887896463	4.12685063575252	3.35105266742179
GH43_9	0	0	0	0	0	0
GH44	0	0	0	0	0	0
GH46	0	0	0	0	0	0
GH49	0	0	0	0	0	0
GH5	0.590686967248379	0.419252669625766	0.354579249380214	2.67035007497859	2.90542690004898	3.05941197949011
GH50	19.5664201754923	18.3045806824033	17.6457397751636	8.93442418142286	7.57713137459468	9.4241262598184
GH51	0	0	0	0	0	0
GH53	0	0	0	0	0	0
GH56	7.1362568560514	5.74356592350577	5.57597617102804	0.186698320055006	0.0967815506123953	0.185286219036715
GH57	15.4023444420981	16.5516495131611	12.6515946929942	12.2129277923758	26.4617403815412	29.2055766693988
GH59	0	0	0	0	0	0
GH5_13	0	0	0	0	0	0
GH5_19	0	0	0	0	0	0
GH5_21	0	0	0	0	0	0
GH5_22	0	0	0	0	0	0
GH5_25	0	0	0	0	0	0
GH5_28	0	0	0	0	0	0
GH5_34	0	0	0	0	0	0
GH5_36	0	0	0	0	0	0
GH5_46	32.2246507887361	23.9809919398493	19.6030822757875	18.5351645074182	13.934713542128	16.4287735083949
GH5_48	0	0	0	0	0	0
GH5_5	0.590686967248379	0.419252669625766	0.354579249380214	2.67035007497859	2.90542690004898	3.05941197949011
GH5_7	23.4312792093255	16.198118289158	13.9405554464179	16.1962800393866	12.1728993304891	13.8815035662437
GH62	0	0	0	0	0	0
GH63	60.2540697198773	49.7663158708534	43.120374093555	38.2570349626099	27.9582467687239	33.0822207245069
GH65	0	0	0	0	0	0
GH66	0	0	0	0	0	0
GH67	10.9874534423646	10.5386408473092	8.18381002123205	11.7633438081302	10.2144091063618	11.2101451623829
GH68	0	0	0	0	0	0
GH73	40.872701000663	61.1680574823509	39.0321339464082	34.322100398816	87.1317775559942	74.6048491256766
GH74	2860.99221630182	2815.04965581977	2113.14005664693	1425.39667523649	1215.42929562189	1481.6308253289
GH75	0	0	0	0	0	0
GH76	186.476848645553	167.943987246845	116.727988854167	125.786416221696	113.50341113226	129.140115656294
GH77	23.7192285030427	23.0773113447824	19.8255819546441	14.4388421965638	25.3677758940424	30.1326394140744
GH78	52.8921191529492	41.3034765214071	33.7121888530478	26.5660749290358	20.594718245191	24.3618655362765
GH8	0.590686967248379	0.419252669625766	0.354579249380214	2.67035007497859	2.90542690004898	3.05941197949011
GH80	0	0	0	0	0	0
GH81	0	0	0	0	0	0
GH82	0	0	0	0	0	0
GH84	35.3326486058546	24.6426689523489	23.3629975237127	26.0452329610261	21.9158708908417	23.1768358012965
GH87	0	0	0	0	0	0
GH88	17.2312200003073	12.1641884690118	12.2098424554563	18.9456627176667	16.6213883200547	17.0063995714919
GH89	0	0	0	0	0	0
GH9	0	0	0	0	0	0
GH91	0	0	0	0	0	0
GH92	0	0	0	0	0	0
GH93	7.79322321086338	5.79293572707184	12.3498658633597	5.19973096107998	4.30017014963596	5.144643443935
GH94	0	0	0	0	0	0
GH95	8.34823339933152	5.27643885761676	4.89278518843261	10.547927580864	9.40730150739008	10.200269038213
GH97	0	0	0	0	0	0
GH98	0	0	0	0	0	0
GH99	12.4363753668247	16.2332378589415	15.2590754457541	14.0491571065544	13.5100624381237	16.268419956944
A08	291.606137031266	295.793264908693	227.982811864334	231.219830134493	261.78375404325	276.901902304788
A22B	36.5861129082392	25.1182090720584	23.2076149061678	10.469710407681	5.3414370502969	7.8789917389856
A24A	144.905241119702	117.467744757652	91.4344393602657	134.251234551944	142.864488021419	147.437928699467
A24B	0	0	0	0	0	0
A24X	0	0	0	0	0	0
A28B	0	0	0	0	0	0
A31	6.62929170322862	3.08187011161749	2.17850797642218	4.70387988218957	38.2269470920956	23.4964113756378
A32	12.2915062401556	5.76513145662812	4.0247863571693	8.96562777701278	31.4750720827026	35.443443700168
C01A	24.7829578553495	31.768681583246	26.6053434664232	6.91362723739856	5.83566319537655	9.10087562462219
C01B	207.832198915368	189.399009075202	144.311826512484	94.1079752345219	71.3154683215089	86.773155437499
C01X	0	0	0	0	0	0
C110	12.8928262633884	9.18939215767995	6.88417177677965	9.80704601004715	19.9122427697784	22.6254265854214
C13	0	0	0	0	0	0
C14B	21.8820707802552	34.1951967076996	18.3164799555303	18.1006493944669	16.994214006557	20.9860425761937
C25	0	0	0	0	0	0
C26	2446.55761959691	2364.66947149169	1845.24541722226	1645.68061593313	1771.05372898704	1902.25514236476
C39	0	0	0	0	0	0
C40	23.7832246863466	36.0633473332111	22.8307274430608	17.7812070648208	29.4053537004229	56.9342773137184
C44	653.559403590055	665.939675436478	501.141283294325	431.870311302892	514.455094898448	536.860188913514
C45	2.09903706404696	1.73665229559844	1.71552014779225	2.82968184427377	2.07355317647071	2.3635816357046
C51	0	0	0	0	0	0
C56	46.9238342851854	40.2215735996714	35.7563911175606	31.4476791739565	40.5041562455962	44.9699661930535
C59	0	0	0	0	0	0
C60A	0	0	0	0	0	0
C69	14.40077808493	22.4919667323334	11.9944034917339	12.2791372203454	11.5519249959255	14.211081324991
C82A	81.4266773285969	74.1550586870181	63.8880197963219	60.4203892789948	85.125230136275	118.12922672975
C82B	0	0	0	0	0	0
C93	6.14575312007778	2.88256572831406	2.01239317858465	4.48281388850639	15.7375360413513	17.721721850084
C97	0	0	0	0	0	0
I01	0	0	0	0	0	0
I02	11.7838877271677	8.08587050769164	6.91867541277309	9.03366120603793	6.869154988234	7.73410541094834
I11	0	0	0	0	0	0
I13	0	0	0	0	0	0
I39	143.599129907779	113.441401119858	86.8744622397699	80.9026040081806	74.8761097445657	87.5436995529744
I42	0	0	0	0	0	0
I51	88.3278473949233	69.2434341893633	63.4500278116691	52.8349162492431	69.0226237353167	58.7476511761677
I75	0	0	0	0	0	0
I78	0	0	0	0	0	0
I87	634.97891356757	629.422007260212	486.721233354146	494.020421287544	542.007063613187	594.232098181298
M01	278.683251633313	278.648000423035	222.466249599805	171.697109146901	207.091452040053	213.255627620498
M02	4.50443979547163	6.00743180999402	6.19833106216707	4.23848116867299	4.42088436987786	5.52354960794938
M03A	69.3222217767413	69.276300384309	59.4557151797174	48.9750091191008	97.4464954198578	95.2992441114808
M03B	104.192021933952	108.299142975621	84.2579090636452	73.9436533382085	66.8381414965475	75.2807772166904
M03X	0	0	0	0	0	0
M04	0	0	0	0	0	0
M06	0	0	0	0	0	0
M09B	0	0	0	0	0	0
M10A	6.14575312007778	2.88256572831406	2.01239317858465	4.48281388850639	15.7375360413513	17.721721850084
M10B	0	0	0	0	0	0
M10X	0	0	0	0	0	0
M12A	0	0	0	0	0	0
M12B	0	0	0	0	0	0
M13	0	0	0	0	0	0
M14A	49.2748986544347	45.9680913343437	38.9386237360015	27.7686034331548	24.3434433907833	40.4657725916473
M14B	104.837277778109	87.5368587803283	67.8217925513005	48.825604471083	34.696208805733	41.3851678141859
M14C	0	0	0	0	0	0
M15B	0.815240812162387	0.761506480572768	0.733900544165806	4.37168585084555	3.99094649405916	3.57278220575244
M15C	0.00960135670299534	0.0213533859851316	0.0912704971458093	0.00549323583552317	0.0306138608492854	10.7982121844327
M15D	36.0398333852441	28.6470004252225	26.4699917292108	25.2356821851274	19.6092385693147	34.0212791331519
M16A	0	0	0	0	0	0
M16B	105.929520043835	140.295442341803	100.526650295731	89.0254289650106	137.326729659435	142.043958413278
M16C	0	0	0	0	0	0
M17	214.089223010524	202.796899186322	161.01038305158	172.867213413017	204.408706504066	209.804543555669
M18	32.7823496822241	29.4209451908267	24.2586331539674	28.3411355905045	63.0715766877672	50.7669083838392
M19	130.097757955032	128.834577616615	100.770217773326	95.0465536754421	86.8513571941967	111.383586926417
M20A	574.765024350208	647.588289870137	488.634999170445	387.031868028355	433.671522627106	493.934637345512
