Head	CymS.C.B	CymS.C.HRP.1	CymS.C.HRP.2	CymS.C.LRP.1	CymS.C.LRP.2	CymS.C.NBB.1	CymS.C.NBB.2
phosphate_acetyltransferase	39	59	90	14	84	29	64
acetate_kinase	11	441	230	28	130	2	3
acetyl-CoA_synthetase	496	1580	2982	2353	509	130	96
aldehyde_dehydrogenase	785	2119	3613	6313	636	170	117
alcohol_dehydrogenase	795	2133	3627	6346	641	172	119
KEGG.B01	17	45	45	48	19	4	2
KEGG.B02	0	0	0	0	0	0	0
KEGG.B03	0	0	0	0	0	0	0
KEGG.B04	0	0	0	0	0	0	0
KEGG.B05	0	0	0	0	0	0	0
KEGG.B06	5	11	12	0	3	0	0
KEGG.B07	111	265	152	541	100	31	8
KEGG.B08	189	305	159	848	87	29	8
KEGG.B09	0	0	0	0	0	0	0
KEGG.B10	0	0	0	0	0	0	0
KEGG.B11	0	0	0	0	0	0	0
KEGG.B12	0	0	0	0	0	0	0
KEGG.B13	0	0	0	0	0	0	0
KEGG.B14	337	569	335	1384	134	49	16
KEGG.B15	0	0	0	0	0	0	0
KEGG.B16	0	0	0	0	0	0	0
KEGG.B17	351	456	303	1058	85	40	12
KEGG.B18	0	0	0	0	0	0	0
KEGG.B19	0	0	0	0	0	0	0
KEGG.B20	386	1493	3023	1897	377	97	40
KEGG.B21	0	0	0	0	0	0	0
KEGG.B22	605	1768	3114	2469	542	143	98
KEGG.B23	76	211	110	460	79	19	6
KEGG.C01	128	257	161	468	88	35	7
KEGG.C02	14	449	235	34	133	2	3
KEGG.C03	0	0	0	0	0	0	0
GH1	19	86	200	3048	21	2	2
GH10	0	0	0	0	0	0	0
GH100	47	38	46	28	9	5	0
GH102	39	467	1714	314	68	28	20
GH103	124	1262	2943	4476	376	64	37
GH104	0	0	0	0	0	0	0
GH105	334	421	283	834	85	34	8
GH106	0	0	0	0	0	0	0
GH108	0	0	0	0	0	0	0
GH109	742	1657	1787	5944	447	118	40
GH110	0	0	0	0	0	0	0
GH113	102	197	143	73	36	10	2
GH114	73	92	54	453	21	10	1
GH116	9	6	3	28	3	1	0
GH117	51	77	56	49	18	3	2
GH12	40	49	41	62	15	3	1
GH120	0	0	0	0	0	0	0
GH122	0	0	0	0	0	0	0
GH123	34	60	44	8	11	1	0
GH125	9	6	3	28	3	1	0
GH127	9	6	3	28	3	2	0
GH128	0	0	0	0	0	0	0
GH129	0	0	0	0	0	0	0
GH13	52	86	70	52	24	2	2
GH130	52	86	67	160	21	6	1
GH133	8	11	10	13	4	1	2
GH134	0	0	0	0	0	0	0
GH135	0	0	0	0	0	0	0
GH136	20	38	20	173	10	4	0
GH137	34	60	44	8	11	1	0
GH139	34	60	44	8	11	1	0
GH13_10	0	0	0	0	0	0	0
GH13_11	69	66	76	126	24	9	1
GH13_13	0	0	0	0	0	0	0
GH13_16	0	0	0	0	0	0	0
GH13_18	11	441	230	28	130	2	3
GH13_19	0	0	0	0	0	0	0
GH13_20	3	3	3	3	1	1	0
GH13_23	17	15	22	9	3	0	0
GH13_24	0	0	0	0	0	0	0
GH13_26	0	0	0	0	0	0	0
GH13_3	0	0	0	0	0	0	0
GH13_31	0	0	0	0	0	0	0
GH13_36	0	0	0	0	0	0	0
GH13_4	11	441	230	28	130	2	3
GH13_6	0	0	0	0	0	0	0
GH13_7	0	0	0	0	0	0	0
GH13_9	99	521	324	147	153	13	5
GH14	0	0	0	0	0	0	0
GH140	11	14	13	15	5	1	2
GH141	34	60	44	8	11	1	0
GH142	4	5	6	19	6	0	0
GH144	0	0	0	0	0	0	0
GH145	34	60	44	8	11	1	0
GH146	1	66	182	3027	14	1	2
GH148	0	0	0	0	0	0	0
GH149	0	0	0	0	0	0	0
GH15	154	166	109	635	35	24	3
GH151	27	25	23	138	8	4	1
GH153	0	0	0	0	0	0	0
GH16	76	175	266	3112	40	5	3
GH17	5	5	7	10	3	1	0
GH18	50	55	45	109	19	4	1
GH19	0	0	0	0	0	0	0
GH2	112	135	109	276	36	12	2
GH20	39	35	25	155	11	5	1
GH23	342	1540	3224	4830	520	118	105
GH24	0	0	0	0	0	0	0
GH25	0	0	0	0	0	0	0
GH26	0	0	0	0	0	0	0
GH28	74	112	80	88	30	13	2
GH29	62	95	77	61	26	3	1
GH3	164	1153	2170	1090	357	64	35
GH30	0	0	0	0	0	0	0
GH31	0	0	0	0	0	0	0
GH32	75	101	77	77	26	6	2
GH33	142	190	145	492	59	18	4
GH36	0	0	0	0	0	0	0
GH37	0	0	0	0	0	0	0
GH38	0	0	0	0	0	0	0
GH39	0	0	0	0	0	0	0
GH4	145	210	141	478	52	14	2
GH42	43	66	46	36	13	2	0
GH43	21	19	13	119	6	3	1
GH43_10	0	0	0	0	0	0	0
GH43_12	0	0	0	0	0	0	0
GH43_18	0	0	0	0	0	0	0
GH43_2	0	0	0	0	0	0	0
GH43_23	0	0	0	0	0	0	0
GH43_30	0	0	0	0	0	0	0
GH43_33	0	0	0	0	0	0	0
GH43_34	0	0	0	0	0	0	0
GH43_5	1	66	182	3027	14	1	2
GH43_9	0	0	0	0	0	0	0
GH44	0	0	0	0	0	0	0
GH46	0	0	0	0	0	0	0
GH49	0	0	0	0	0	0	0
GH5	34	60	44	8	11	1	0
GH50	20	38	20	173	10	4	0
GH51	0	0	0	0	0	0	0
GH53	0	0	0	0	0	0	0
GH56	0	0	0	1	0	0	0
GH57	41	474	296	34	204	24	58
GH59	0	0	0	0	0	0	0
GH5_13	0	0	0	0	0	0	0
GH5_19	0	0	0	0	0	0	0
GH5_21	0	0	0	0	0	0	0
GH5_22	0	0	0	0	0	0	0
GH5_25	0	0	0	0	0	0	0
GH5_28	0	0	0	0	0	0	0
GH5_34	0	0	0	0	0	0	0
GH5_36	0	0	0	0	0	0	0
GH5_46	41	49	40	77	16	3	1
GH5_48	0	0	0	0	0	0	0
GH5_5	34	60	44	8	11	1	0
GH5_7	34	38	29	62	13	3	1
GH62	0	0	0	0	0	0	0
GH63	141	121	83	208	27	7	3
GH65	0	0	0	0	0	0	0
GH66	0	0	0	0	0	0	0
GH67	24	38	27	47	13	11	2
GH68	0	0	0	0	0	0	0
GH73	83	1041	2733	1024	301	56	82
GH74	589	868	569	2100	212	84	21
GH75	0	0	0	0	0	0	0
GH76	430	955	598	1116	232	48	16
GH77	30	465	255	110	139	7	3
GH78	34	25	19	158	12	5	2
GH8	34	60	44	8	11	1	0
GH80	0	0	0	0	0	0	0
GH81	0	0	0	0	0	0	0
GH82	0	0	0	0	0	0	0
GH84	19	22	20	32	12	2	2
GH87	0	0	0	0	0	0	0
GH88	54	80	59	51	19	4	2
GH89	0	0	0	0	0	0	0
GH9	0	0	0	0	0	0	0
GH91	0	0	0	0	0	0	0
GH92	0	0	0	0	0	0	0
GH93	0	0	0	0	0	1	0
GH94	0	0	0	0	0	0	0
GH95	39	64	46	10	12	2	1
GH97	0	0	0	0	0	0	0
GH98	0	0	0	0	0	0	0
GH99	25	27	21	101	12	5	1
AA1	0	0	0	0	0	0	0
AA10	0	0	0	0	0	0	0
AA12	0	0	0	0	0	0	0
AA1_3	1	0	1	11	0	1	0
AA2	0	0	0	0	0	0	0
AA3	0	0	0	0	0	0	0
AA3_2	0	0	0	0	0	0	0
AA4	0	0	0	0	0	0	0
AA5_2	0	0	0	0	0	0	0
AA6	0	0	0	0	0	0	0
AA7	0	0	0	0	0	0	0
CBM11	0	0	0	0	0	0	0
CBM12	0	0	0	0	0	0	0
CBM13	0	0	0	0	0	0	0
CBM14	0	0	0	0	0	0	0
CBM15	0	0	0	0	0	0	0
CBM16	0	0	0	0	0	0	0
CBM17	0	0	0	0	0	0	0
CBM2	2	2	3	30	1	1	0
CBM20	0	0	0	0	0	0	0
CBM21	0	0	0	0	0	0	0
CBM22	2	2	3	30	1	1	0
CBM23	0	0	0	0	0	0	0
CBM24	0	0	0	0	0	0	0
CBM28	0	0	0	0	0	0	0
CBM29	0	0	0	0	0	0	0
CBM3	0	0	0	0	0	0	0
CBM32	0	0	0	0	0	0	0
CBM34	0	0	0	0	0	0	0
CBM35	2	2	3	30	1	1	0
CBM37	0	0	0	0	0	0	0
CBM38	0	0	0	0	0	0	0
CBM39	0	0	0	0	0	0	0
CBM4	0	0	0	0	0	0	0
CBM40	0	0	0	0	0	0	0
CBM41	0	0	0	0	0	0	0
CBM43	0	0	0	0	0	0	0
CBM44	2	2	3	30	1	1	0
CBM47	0	0	0	0	0	0	0
CBM48	0	0	0	0	0	0	0
CBM5	0	0	0	0	0	0	0
CBM50	0	0	0	0	0	0	0
CBM51	0	0	0	0	0	0	0
CBM53	0	0	0	0	0	0	0
CBM54	0	0	0	0	0	0	0
CBM56	0	0	0	0	0	0	0
CBM57	0	0	0	0	0	0	0
CBM6	0	0	0	0	0	0	0
CBM61	0	0	0	0	0	0	0
CBM63	0	0	0	0	0	0	0
CBM66	0	0	0	0	0	0	0
CBM67	0	0	0	0	0	0	0
CBM69	0	0	0	0	0	0	0
CBM70	0	0	0	0	0	0	0
CBM73	0	0	0	0	0	0	0
CBM77	0	0	0	0	0	0	0
CBM78	0	0	0	0	0	0	0
CBM8	0	0	0	0	0	0	0
CBM80	0	0	0	0	0	0	0
CBM81	0	0	0	0	0	0	0
CBM9	0	0	0	0	0	0	0
CE1	0	0	0	0	0	0	0
CE10	0	0	0	0	0	0	0
CE11	0	0	0	0	0	0	0
CE12	0	0	0	0	0	0	0
CE13	0	0	0	0	0	0	0
CE14	1	2	2	19	0	1	0
CE15	0	0	0	0	0	0	0
CE16	0	0	0	0	0	0	0
CE2	0	0	0	0	0	0	0
CE3	0	0	0	0	0	0	0
CE4	0	0	0	0	0	0	0
CE5	0	0	0	0	0	0	0
CE6	0	0	0	0	0	0	0
CE7	0	0	0	0	0	0	0
CE8	0	0	0	0	0	0	0
CE9	0	0	0	0	0	0	0
GT1	0	0	0	0	0	0	0
GT10	0	0	0	0	0	0	0
GT102	0	0	0	0	0	0	0
GT104	0	0	0	0	0	0	0
GT105	0	0	0	0	0	0	0
GT11	0	0	0	0	0	0	0
GT12	0	0	0	0	0	0	0
GT13	0	0	0	0	0	0	0
GT14	0	0	0	0	0	0	0
GT17	0	0	0	0	0	0	0
GT19	0	0	0	0	0	0	0
GT20	0	0	0	0	0	0	0
GT21	0	0	0	0	0	0	0
GT22	0	0	0	0	0	0	0
GT25	0	0	0	0	0	0	0
GT26	0	0	0	0	0	0	0
GT27	0	0	0	0	0	0	0
GT28	0	0	0	0	0	0	0
GT29	0	0	0	0	0	0	0
GT2_Chitin_synth_1	0	0	0	0	0	0	0
GT2_Glyco_tranf_2_2	0	0	0	0	0	0	0
GT2_Glyco_tranf_2_3	2	2	3	30	1	1	0
GT2_Glyco_tranf_2_4	0	0	0	0	0	0	0
GT2_Glyco_tranf_2_5	0	0	0	0	0	0	0
GT2_Glyco_trans_2_3	0	0	0	0	0	0	0
GT2_Glycos_transf_2	0	0	0	0	0	0	0
GT3	0	0	0	0	0	0	0
GT30	0	0	0	0	0	0	0
GT32	0	0	0	0	0	0	0
GT33	0	0	0	0	0	0	0
GT35	0	0	0	0	0	0	0
GT39	0	0	0	0	0	0	0
GT4	2	2	3	30	1	1	0
GT40	0	0	0	0	0	0	0
GT41	0	0	0	0	0	0	0
GT44	0	0	0	0	0	0	0
GT45	0	0	0	0	0	0	0
GT46	0	0	0	0	0	0	0
GT47	0	0	0	0	0	0	0
GT5	0	0	0	0	0	0	0
GT51	0	0	0	0	0	0	0
GT55	0	0	0	0	0	0	0
GT57	0	0	0	0	0	0	0
GT58	0	0	0	0	0	0	0
GT62	0	0	0	0	0	0	0
GT64	0	0	0	0	0	0	0
GT66	0	0	0	0	0	0	0
GT69	0	0	0	0	0	0	0
GT7	0	0	0	0	0	0	0
GT70	0	0	0	0	0	0	0
GT73	0	0	0	0	0	0	0
GT74	0	0	0	0	0	0	0
GT75	0	0	0	0	0	0	0
GT76	0	0	0	0	0	0	0
GT77	0	0	0	0	0	0	0
GT78	0	0	0	0	0	0	0
GT8	0	0	0	0	0	0	0
GT81	0	0	0	0	0	0	0
GT83	0	0	0	0	0	0	0
GT87	0	0	0	0	0	0	0
GT89	0	0	0	0	0	0	0
GT9	0	0	0	0	0	0	0
GT90	0	0	0	0	0	0	0
GT92	0	0	0	0	0	0	0
GT94	0	0	0	0	0	0	0
GT97	0	0	0	0	0	0	0
GT99	0	0	0	0	0	0	0
PL1	0	0	0	0	0	0	0
PL10	0	0	0	0	0	0	0
PL10_3	0	0	0	0	0	0	0
PL11	0	0	0	0	0	0	0
PL12	0	0	0	0	0	0	0
PL12_3	0	0	0	0	0	0	0
PL14	0	0	0	0	0	0	0
PL14_3	0	0	0	0	0	0	0
PL15	0	0	0	0	0	0	0
PL15_2	0	0	0	0	0	0	0
PL17	0	0	0	0	0	0	0
PL17_2	0	0	0	0	0	0	0
PL1_2	0	0	0	0	0	0	0
PL1_7	0	0	0	0	0	0	0
PL2	0	0	0	0	0	0	0
PL20	0	0	0	0	0	0	0
PL21	0	0	0	0	0	0	0
PL22	0	0	0	0	0	0	0
PL22_1	0	0	0	0	0	0	0
PL22_2	0	0	0	0	0	0	0
PL25	0	0	0	0	0	0	0
PL27	0	0	0	0	0	0	0
PL3	0	0	0	0	0	0	0
PL3_1	0	0	0	0	0	0	0
PL3_4	0	0	0	0	0	0	0
PL5	0	0	0	0	0	0	0
PL5_1	0	0	0	0	0	0	0
PL6	0	0	0	0	0	0	0
PL6_1	0	0	0	0	0	0	0
PL6_2	0	0	0	0	0	0	0
PL7	0	0	0	0	0	0	0
PL7_1	0	0	0	0	0	0	0
PL9	0	0	0	0	0	0	0
PL9_1	0	0	0	0	0	0	0
PL9_2	0	0	0	0	0	0	0
PL9_4	0	0	0	0	0	0	0
SLH	0	0	0	0	0	0	0
cohesin	0	0	0	0	0	0	0
dockerin	0	0	0	0	0	0	0
A08	458	1719	3283	5220	467	103	54
A22B	3	1	0	10	2	0	0
A24A	167	1121	2068	798	330	69	31
A24B	0	0	0	0	0	0	0
A24X	0	0	0	0	0	0	0
A28B	0	0	0	0	0	0	0
A31	25	846	1884	274	174	25	21
A32	11	441	230	28	130	2	3
C01A	55	104	62	439	20	9	5
C01B	330	407	262	1322	89	37	11
C01X	0	0	0	0	0	0	0
C110	24	452	240	45	134	5	4
C13	0	0	0	0	0	0	0
C14B	17	41	40	40	15	3	1
C25	0	0	0	0	0	0	0
C26	785	2117	3614	6348	638	173	119
C39	0	0	0	0	0	0	0
C40	25	472	268	93	204	13	6
C44	521	1831	3383	5867	567	145	103
C45	9	6	3	28	3	1	0
C51	0	0	0	0	0	0	0
C56	32	534	440	3093	154	5	6
C59	0	0	0	0	0	0	0
C60A	0	0	0	0	0	0	0
C69	17	41	40	40	15	3	1
C82A	74	711	602	3566	286	33	17
C82B	0	0	0	0	0	0	0
C93	11	441	230	28	130	2	3
C97	0	0	0	0	0	0	0
I01	0	0	0	0	0	0	0
I02	18	20	18	21	7	1	1
I11	0	0	0	0	0	0	0
I13	0	0	0	0	0	0	0
I39	105	557	316	218	159	12	5
I42	0	0	0	0	0	0	0
I51	74	586	1738	552	114	41	23
I75	0	0	0	0	0	0	0
I78	0	0	0	0	0	0	0
I87	310	1149	1527	4854	348	70	29
M01	449	1691	3193	5878	388	91	43
M02	7	9	7	49	4	4	0
M03A	96	1192	2873	4490	344	58	34
M03B	99	167	152	188	56	14	5
M03X	0	0	0	0	0	0	0
M04	0	0	0	0	0	0	0
M06	0	0	0	0	0	0	0
M09B	0	0	0	0	0	0	0
M10A	11	441	230	28	130	2	3
M10B	0	0	0	0	0	0	0
M10X	0	0	0	0	0	0	0
M12A	0	0	0	0	0	0	0
M12B	0	0	0	0	0	0	0
M13	0	0	0	0	0	0	0
M14A	82	108	87	250	92	19	4
M14B	29	19	18	143	8	4	1
M14C	0	0	0	0	0	0	0
M15B	6	6	5	1	2	0	0
M15C	1	1	3	10	62	8	2
M15D	47	51	46	82	78	11	3
M16A	0	0	0	0	0	0	0
M16B	119	1138	2907	4295	328	54	34
M16C	0	0	0	0	0	0	0
M17	260	1452	3093	4799	416	82	39
M18	68	1022	1959	547	238	48	27
M19	178	400	243	949	183	52	11
M20A	431	1663	3093	2613	462	122	56
M20B	0	0	0	0	0	0	0
M20C	3	3	5	30	1	1	0
M20D	195	735	436	673	232	36	13
M20F	30	25	16	147	9	4	1
M20X	116	260	148	676	96	37	8
M23A	0	0	0	0	0	0	0
M23B	249	1319	3105	4341	438	96	97
M24A	667	1962	3476	5862	591	144	107
M24B	628	1808	3389	5882	465	108	48
M28A	0	0	0	0	0	0	0
M28B	36	30	27	181	11	8	1
M28D	83	89	79	289	35	11	4
M28E	0	0	0	0	0	0	0
M28F	56	65	45	365	22	12	1
M28X	0	0	0	0	0	0	0
M29	82	100	91	55	20	7	0
M30	6	2	2	10	2	0	0
M32	39	69	66	105	32	8	3
M36	0	0	0	0	0	0	0
M38	235	1445	3069	4952	361	68	38
M41	451	1762	3276	5503	551	137	108
M42	109	579	325	415	165	18	6
M43B	1	1	1	4	1	0	0
M48A	151	1150	2894	4141	308	55	32
M48B	51	636	1154	3794	182	11	10
M48C	36	586	996	746	173	11	9
M48X	0	0	0	0	0	0	0
M49	30	25	22	180	9	7	1
M50A	0	0	0	0	0	0	0
M50B	118	1233	2950	4414	426	82	90
M50X	0	0	0	0	0	0	0
M54	0	0	0	0	0	0	0
M55	20	15	13	128	8	4	1
M56	0	0	0	0	0	0	0
M57	0	0	0	0	0	0	0
M60	0	0	0	0	0	0	0
M61	0	0	0	0	0	0	0
M64	13	14	14	67	6	4	0
M66	17	11	8	113	3	3	0
M67A	41	62	47	19	11	2	0
M67B	79	122	74	508	25	12	5
M67C	0	0	0	0	0	0	0
M72	0	0	0	0	0	0	0
M75	6	6	10	19	65	9	2
M78	0	0	0	0	0	0	0
M79	133	245	167	517	46	19	7
M81	87	227	119	541	82	32	7
M82	70	60	72	40	13	6	0
M90	22	455	243	43	135	4	5
M97	30	25	22	180	9	7	1
M98	0	0	0	0	0	0	0
N06	116	957	2007	352	205	33	23
N09	1	1	3	10	62	8	2
N10	0	0	0	0	0	0	0
N11	0	0	0	0	0	0	0
P01	239	330	214	1337	75	39	9
S01A	0	0	0	0	0	0	0
S01B	66	490	1727	494	73	30	22
S01C	343	1076	661	1594	390	83	32
S01D	0	0	0	0	0	0	0
S01E	0	0	0	0	0	0	0
S08A	55	197	107	315	78	17	7
S08B	3	1	0	8	2	0	0
S09A	223	322	258	1079	152	51	65
S09B	102	138	102	388	35	15	3
S09C	652	1399	2357	2331	371	143	106
S09D	71	64	54	252	22	11	2
S09X	730	1952	2837	5550	525	146	103
S10	2	2	2	3	1	2	0
S11	60	625	1040	781	187	13	10
S12	211	431	270	1061	141	48	11
S13	83	501	299	98	208	17	6
S14	691	1951	3441	6174	521	127	54
S15	40	173	76	302	65	24	5
S16	563	1863	3375	5746	504	122	58
S24	409	1656	3207	5878	467	112	56
S26A	226	1310	2895	1443	402	96	97
S26B	0	0	0	0	0	0	0
S26C	0	0	0	0	0	0	0
S33	703	2051	3557	6062	549	153	113
S41A	211	1272	2447	3916	379	81	92
S41B	98	109	97	149	22	10	1
S45	40	56	53	210	21	12	3
S46	19	77	190	3140	17	4	2
S49A	0	0	0	0	0	0	0
S49B	112	968	2029	419	288	63	81
S49C	276	398	274	1117	83	44	11
S49X	0	0	0	0	0	0	0
S51	154	230	272	379	56	23	8
S54	308	602	442	1518	310	79	72
S55	11	17	12	55	7	4	0
S66	34	38	29	62	13	3	1
S77	0	0	0	0	0	0	0
S78	0	0	0	0	0	0	0
T01A	51	75	64	46	79	12	2
T01B	184	764	460	573	241	48	19
T01X	1	2	2	19	0	1	0
T02	226	365	257	686	118	33	9
T03	616	1388	855	2204	371	97	28
T05	409	1641	3181	5697	455	100	48
U32	164	1074	2075	580	308	57	29
U56	0	0	0	0	0	0	0
U62	598	1436	1718	5508	389	90	31
U69	29	461	248	49	137	4	3
U72	50	68	50	47	14	3	0
U73	11	441	230	28	130	2	3
