Head	CymD.D.LB	CymD.D.LRP	CymD.D.MRP	CymS.D.B	CymS.D.HRP.1	CymS.D.LRP.1	GyBn.D.NBP	LBAb.D.HRP	LBAb.D.LRP	LBAb.D.NBB	LBKM.D.HRP	LBKM.D.LRP	LBKM.D.MRP	LBKM.D.NBP	LBMa.D.BPB	LBMa.D.RP	LBTa.D.APB	LBTa.D.RP	LBTu.D.RP
KEGG.B20	99	99	95	90	101	100	96	187	150	129	163	185	202	178	247	84	131	185	207
KEGG.B21	0	0	0	0	0	0	0	0	0	0	2	4	0	3	0	0	0	0	0
KEGG.B22	90	92	86	63	73	79	91	127	128	101	109	117	153	112	104	60	112	117	113
KEGG.B23	10	9	10	11	9	11	37	32	30	16	16	14	51	3	37	26	76	10	0
KEGG.C01	97	88	92	47	38	48	115	96	100	20	50	85	21	73	165	40	14	35	68
KEGG.C02	0	0	0	6	15	16	22	0	0	0	1	2	3	5	0	0	0	0	0
KEGG.C03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH1	1	2	3	5	4	4	10	0	0	0	4	5	14	10	11	64	0	0	0
GH10	0	0	0	0	0	0	1	3	2	2	9	6	2	3	0	0	0	0	20
GH100	13	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH102	4	7	5	7	15	11	7	8	6	4	8	5	1	5	0	0	1	7	14
GH103	19	23	24	21	42	41	47	32	24	19	50	52	104	65	99	54	25	43	20
GH104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH105	24	23	21	13	12	13	3	1	6	0	3	2	0	1	0	0	2	0	0
GH106	0	0	0	0	0	0	0	5	7	2	0	0	0	0	0	0	0	0	0
GH108	0	0	0	0	0	0	0	0	0	0	1	0	90	0	0	0	0	0	0
GH109	488	510	488	533	472	521	346	1732	1561	809	1122	2064	1136	972	344	71	397	1194	3436
GH110	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH113	0	0	0	6	7	7	6	10	8	4	3	1	3	2	0	0	66	0	20
GH114	21	21	19	3	2	2	2	0	0	0	0	0	0	0	2	18	7	0	0
GH116	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GH117	0	0	0	8	7	7	4	19	16	8	16	29	22	11	0	0	6	17	20
GH12	3	2	3	6	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0
GH120	0	0	0	0	0	0	1	10	8	4	4	7	1	6	11	64	0	0	20
GH122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH123	0	0	0	1	1	1	1	10	8	4	5	11	6	4	0	0	2	7	0
GH125	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GH127	0	0	0	2	2	2	1	10	8	4	5	11	6	4	0	0	2	7	20
GH128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH129	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH13	2	2	2	7	5	6	5	13	11	4	13	18	18	6	27	6	12	7	25
GH130	0	0	0	9	8	10	2	53	48	16	25	55	31	19	69	263	10	36	65
GH133	0	0	0	4	3	3	4	0	0	0	0	0	4	0	0	0	0	0	0
GH134	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH135	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
GH136	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH137	0	0	0	2	2	2	0	10	8	4	5	11	6	4	0	0	3	13	40
GH139	0	0	0	1	1	1	0	10	8	4	5	11	6	4	0	0	2	7	20
GH13_10	0	0	0	0	0	0	2	0	0	0	1	1	3	2	0	0	1	9	5
GH13_11	18	16	16	4	4	4	5	3	2	7	6	8	6	11	0	0	1	13	12
GH13_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	5	0	0
GH13_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_18	0	0	0	2	6	7	2	0	0	0	0	0	0	0	2	18	5	0	0
GH13_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	5	0	0
GH13_20	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
GH13_23	0	0	0	24	16	17	5	3	2	7	1	2	5	2	2	18	1	13	12
GH13_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	5	0	0
GH13_26	0	0	0	0	0	0	0	0	0	0	3	2	5	4	0	0	2	18	10
GH13_3	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0
GH13_31	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0
GH13_36	0	0	0	0	0	0	0	5	4	2	0	0	0	0	0	0	0	0	0
GH13_4	0	0	0	2	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GH13_9	14	12	11	33	29	31	8	10	4	16	13	7	10	4	0	0	2	27	12
GH14	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
GH140	0	0	0	5	4	4	5	1	6	0	0	0	0	0	0	0	0	0	0
GH141	0	0	0	1	1	1	0	10	8	4	10	22	12	7	0	0	3	13	40
GH142	2	2	2	2	1	2	0	7	7	3	0	0	0	0	0	0	0	0	0
GH144	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0
GH145	0	0	0	2	2	2	1	10	8	4	5	11	6	4	0	0	3	13	60
GH146	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH148	0	0	0	0	0	0	0	14	5	19	6	4	2	7	0	0	0	0	0
GH149	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH15	24	24	23	8	5	7	11	0	0	0	4	4	13	8	0	0	4	18	10
GH151	11	10	10	5	3	4	1	10	8	4	16	23	8	31	0	0	3	13	20
GH153	0	0	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0
GH16	12	11	12	6	5	5	3	21	21	9	16	13	2	11	0	0	4	7	40
GH17	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GH18	10	7	9	7	5	6	6	0	0	0	7	6	6	12	0	0	66	0	0
GH19	0	0	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0
GH2	13	12	13	12	10	12	26	32	29	24	15	21	17	15	71	12	81	57	76
GH20	7	6	6	2	1	1	13	8	3	17	13	13	13	15	36	6	71	33	23
GH23	89	99	93	121	165	168	155	175	117	193	172	148	398	130	80	165	205	218	172
GH24	0	0	0	0	0	0	2	0	0	0	1	0	90	0	0	0	0	0	0
GH25	0	0	0	0	0	0	1	0	0	0	1	0	43	0	0	0	0	0	0
GH26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH28	3	3	3	15	12	13	6	10	8	4	6	13	9	9	2	18	12	7	20
GH29	2	2	2	8	6	7	6	28	29	16	14	16	11	8	0	0	3	13	36
GH3	44	43	45	40	47	53	61	44	35	36	64	75	85	78	60	12	95	83	36
GH30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
GH31	0	0	0	0	0	0	0	0	0	0	3	2	4	1	0	0	5	0	7
GH32	4	4	4	10	10	10	3	58	49	24	48	102	58	35	0	0	16	60	221
GH33	50	41	46	66	55	56	95	163	137	88	172	247	128	113	117	23	70	250	392
GH36	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
GH37	0	0	0	0	0	0	0	0	0	0	0	0	4	0	22	128	2	0	0
GH38	0	0	0	0	0	0	4	4	3	0	12	8	0	4	17	3	2	0	0
GH39	0	0	0	0	0	0	12	0	0	0	3	2	0	1	0	0	0	0	14
GH4	9	8	9	18	14	16	21	21	19	9	6	11	49	4	0	0	3	13	56
GH42	0	0	0	3	3	3	9	10	8	4	11	23	17	9	11	64	2	7	40
GH43	4	3	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GH43_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GH43_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH43_18	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
GH43_2	0	0	0	0	0	0	0	0	0	0	3	3	2	1	0	0	0	0	0
GH43_23	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
GH43_30	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
GH43_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH43_34	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0
GH43_5	1	2	3	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	7
GH43_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH46	0	0	0	0	0	0	0	10	8	4	5	11	6	4	0	0	0	0	20
GH49	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH5	0	0	0	1	1	1	5	19	16	8	10	17	9	8	0	0	2	7	27
GH50	6	6	8	0	0	0	0	10	8	4	6	12	7	5	0	0	2	7	0
GH51	0	0	0	0	0	0	3	10	8	4	8	13	6	5	0	0	2	7	20
GH53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GH56	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH57	0	0	0	5	10	11	5	11	5	10	24	13	5	6	17	3	6	14	0
GH59	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
GH5_13	0	0	0	0	0	0	5	3	1	2	1	1	1	7	0	0	0	0	0
GH5_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH5_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH5_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH5_25	0	0	0	0	0	0	0	0	0	0	5	6	2	5	0	0	0	0	7
GH5_28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH5_34	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH5_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH5_46	5	4	5	5	4	4	0	0	0	0	3	3	0	9	0	0	0	0	0
GH5_48	0	0	0	0	0	0	0	0	0	0	5	11	6	4	0	0	0	0	20
GH5_5	0	0	0	1	1	1	6	0	0	0	0	0	0	0	0	0	2	7	0
