Head	CymD.D.LB	CymD.D.LRP	CymD.D.MRP	CymD.D.PD.FS851	CymD.D.PD.FS852	CymD.D.PD.FS854	CymD.D.PD.FS856	CymS.D.B	CymS.D.HRP.1	CymS.D.LRP.1	CymS.D.VD.FS841	CymS.D.VD.FS842	CymS.D.VD.FS844	CymS.D.VD.FS848	CymS.D.VD.FS849	CymS.D.VD.FS866	CymS.D.VD.FS872	CymS.D.VD.FS874	CymS.D.VD.FS877	CymS.D.VD.FS879	CymS.D.VD.FS881	GyBn.D.NBP	LBAb.D.HRP	LBAb.D.LRP	LBAb.D.NBB	LBKM.D.HRP	LBKM.D.LRP	LBKM.D.MRP	LBKM.D.NBP	LBMa.D.BPB	LBMa.D.RP	LBTa.D.APB	LBTa.D.RP	LBTu.D.RP
TIGR02061	35	41	37	5	27	7	7	11	16	18	13	47	10	5	2	0	5	0	3	8	0	11	21	18	10	28	32	6	25	49	12	5	17	16
TIGR00339	42	48	46	4	19	4	6	27	30	34	24	65	45	20	11	6	86	0	13	22	22	15	41	32	26	38	49	22	41	60	12	11	44	48
TIGR00455	21	22	25	12	30	29	33	27	28	33	36	74	35	12	21	5	55	25	23	18	26	47	37	37	11	22	27	23	25	60	12	87	34	56
TIGR02034	2	2	3	7	9	21	22	5	8	10	1	0	6	4	2	1	1	88	56	15	10	24	18	11	18	22	19	57	7	2	18	77	29	7
thiosulfate_reductase_phsA	0	0	0	8	30	19	20	0	0	4	4	0	13	19	4	2	6	1	12	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR04105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02512	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenase_Group_1	0	0	0	112	23	20	27	2	14	9	26	100	50	20	25	11	48	19	28	44	34	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenase_Group_2a	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	1	0	2	0	1	5	0	0	0	0	0	0	4	0	0	0	66	0	0
Hydrogenase_Group_2b	0	0	0	7	30	1	0	2	6	7	12	47	11	1	6	1	1	16	14	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenase_Group_3a	0	0	0	6	4	2	1	0	0	0	1	0	0	28	1	47	0	0	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenase_Group_3b	0	0	0	0	0	0	0	0	0	0	18	57	26	1	8	0	67	0	3	0	0	0	0	16	4	0	0	4	0	0	0	0	0	0
Hydrogenase_Group_3c	0	0	0	17	31	7	8	0	0	0	1	0	1	28	1	47	10	0	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenase_Group_3d	0	0	0	0	0	1	2	0	0	0	12	47	23	5	2	1	14	1	4	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenase_Group_4	0	0	0	9	8	3	1	0	0	0	12	36	10	44	7	89	9	3	10	7	33	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6	3	3	7	6	4	3	0	0	2	7	0
TIGR03079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6	3	3	7	6	4	3	0	0	2	7	0
TIGR03078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	6	3	3	7	6	4	3	0	0	2	7	0
PF02406	3	4	3	1	1	5	5	7	11	12	8	5	2	0	7	0	11	62	38	3	3	35	0	0	0	1	2	4	11	2	18	6	13	12
TIGR04550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03256	0	0	0	8	7	3	1	0	0	0	1	0	0	27	1	47	0	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03257	0	0	0	8	7	3	1	0	0	0	1	0	0	27	1	47	0	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03259	0	0	0	8	7	3	1	0	0	0	1	0	0	28	1	48	0	0	4	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01287	0	0	0	7	6	2	0	0	0	0	2	0	1	32	1	48	0	0	7	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_oxidoreductase_nxrA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_oxidoreductase_nxrB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01706	0	0	0	73	47	59	65	0	0	0	52	51	28	22	7	10	5	5	13	27	16	3	0	0	0	0	0	0	0	0	0	0	0	0
PF03892	1	2	3	73	35	77	73	0	5	3	63	99	47	30	8	5	0	6	19	32	12	3	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01580	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	9	3	0	1	10	6	19	7	7	5	2	1	0	0	2	7	0
TIGR01660	0	0	0	0	0	0	0	1	1	1	0	5	0	0	0	0	0	9	3	0	1	11	6	19	7	7	5	2	1	0	0	2	7	0
TIGR03153	0	0	0	0	0	2	2	0	0	0	1	0	9	12	3	8	6	1	7	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02335	1	2	3	1	1	11	6	4	4	4	1	0	11	4	1	0	3	1	4	9	2	7	0	0	0	1	1	1	1	0	0	0	0	0
TIGR03152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02374	1	2	3	1	4	1	1	2	12	12	14	52	21	11	9	2	2	163	101	20	13	24	14	5	19	35	18	14	7	2	18	8	37	5
TIGR02378	1	2	3	1	9	5	1	6	15	15	13	47	11	1	7	1	2	87	54	7	8	24	19	7	21	35	18	57	7	2	18	8	37	5
TIGR02376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	7
nitrite_reductase_nirS	0	0	0	2	3	1	1	0	0	0	51	56	9	1	2	1	0	3	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0
nitric_oxide_reductase_norB	0	0	0	3	1	16	14	2	6	7	13	50	13	6	2	1	5	12	7	7	6	0	0	0	0	0	0	4	0	0	0	0	0	0
nitric_oxide_reductase_norC	6	4	5	57	19	20	24	5	4	4	13	50	23	16	3	2	0	4	10	20	7	3	23	20	9	9	16	12	14	0	0	2	7	20
PF05048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR04247	0	0	0	12	35	18	20	0	0	0	24	107	22	6	4	1	0	3	5	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR04246	0	0	0	3	3	4	5	0	0	0	14	50	9	1	2	1	0	2	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrazine_oxidase_hzoA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrazine_synthase_hzsA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR04315	0	0	0	2	14	0	1	0	0	0	24	57	30	1	13	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02891	50	56	54	0	0	0	0	40	47	48	11	47	16	5	4	1	1	27	20	13	8	55	21	16	15	53	41	19	43	52	12	20	34	0
TIGR02866	52	53	51	1	1	10	5	28	39	36	74	66	19	8	52	2	1	39	23	16	16	39	23	16	28	59	61	26	72	26	24	15	34	12
TIGR00780	3	4	5	11	37	21	20	6	33	27	24	99	33	16	12	3	2	35	28	21	17	10	7	2	9	14	8	9	3	2	18	8	14	7
TIGR00781	3	4	5	15	54	32	28	2	21	14	23	99	29	16	6	2	1	40	29	20	15	11	7	2	9	14	8	13	3	2	18	8	14	7
TIGR00782	19	20	19	19	71	31	24	12	35	30	62	166	80	37	33	3	11	43	45	41	10	25	13	6	23	19	14	19	25	2	18	13	43	32
TIGR01433	0	0	0	0	0	0	0	2	6	7	1	0	1	0	2	0	1	91	54	6	8	8	0	0	0	1	0	43	0	0	0	0	0	0
TIGR02847	0	0	0	0	0	0	0	2	6	7	1	0	1	0	2	0	1	91	54	6	8	8	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01473	72	75	72	3	9	21	15	42	54	53	65	76	42	14	46	21	11	111	64	29	56	84	71	57	102	66	66	37	72	100	36	94	74	84
PF01654	4	3	3	64	60	14	23	2	6	11	15	48	43	19	23	4	15	159	106	40	33	15	0	0	0	9	5	137	8	2	18	13	29	5
TIGR00203	0	0	0	3	15	7	9	2	6	11	15	47	38	11	19	2	20	158	100	30	27	8	0	0	0	7	3	129	1	2	18	6	7	0
TIGR01432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanol_dehydrogenase_pqq_xoxF_mxaF	41	41	39	0	0	0	0	31	51	58	11	47	8	0	2	0	2	59	33	5	10	50	9	4	5	11	11	8	16	3	36	15	7	0
TIGR04266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02659	0	0	0	0	0	0	0	3	7	8	0	0	0	0	0	0	1	16	13	2	4	11	0	0	0	1	1	1	2	0	0	0	0	0
TIGR02658	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	16	13	2	4	11	0	0	0	1	1	1	2	0	0	0	0	0
TIGR02819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02821	2	2	2	7	33	4	0	3	3	3	1	0	1	2	2	0	1	87	55	8	8	11	0	0	0	3	5	48	5	3	36	10	0	12
TIGR02818	9	11	10	0	5	3	0	5	4	4	1	0	1	0	1	0	1	87	53	6	8	21	3	2	7	9	10	8	11	3	36	17	7	16
TIGR03451	20	22	20	0	0	0	0	11	10	12	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03126	0	0	0	12	9	3	1	5	18	20	24	102	29	33	5	50	6	0	6	9	26	30	12	5	6	16	12	5	3	0	0	3	14	0
TIGR03119	0	0	0	6	15	6	10	2	6	7	13	62	15	37	4	52	3	0	6	16	47	13	12	5	6	14	11	6	3	0	0	3	14	0
TIGR03120	0	0	0	8	11	5	6	2	6	7	12	54	15	32	3	49	3	0	5	8	25	15	6	3	3	9	7	3	2	0	0	2	7	0
TIGR01591	19	23	24	6	28	3	2	28	31	36	14	56	37	5	3	1	22	10	7	9	2	24	24	21	4	54	70	15	59	43	27	13	4	28
TIGR01582	5	6	6	0	0	0	0	4	4	4	3	0	4	8	2	1	7	9	8	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01583	9	13	11	3	16	4	5	9	8	10	11	52	34	6	3	0	15	10	7	6	1	9	11	7	5	12	10	5	6	2	18	9	10	7
carbon_monoxide_dehydrogenase_coxS	232	252	240	12	56	1	0	110	97	116	25	6	83	7	85	2	151	2	9	5	2	53	106	98	56	67	92	34	89	146	31	21	34	87
carbon_monoxide_dehydrogenase_coxM	193	197	187	21	97	2	3	82	74	87	22	5	33	6	84	2	124	26	24	7	6	50	171	139	150	62	91	48	74	147	49	21	39	119
TIGR02416	303	341	305	8	42	1	1	157	144	172	24	5	64	3	40	1	75	3	3	3	5	70	98	84	62	65	91	45	88	71	12	12	20	159
rubisco_form_I	1	2	3	0	0	0	0	0	5	3	19	52	11	1	11	1	1	0	1	1	1	0	10	4	16	13	7	10	4	0	0	6	14	12
rubisco_form_II	0	0	0	6	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	7	0	0	0	0	0	0	0	0	0
rubisco_form_II_III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rubisco_form_III	0	0	0	0	0	0	0	0	0	0	16	8	2	10	12	7	0	0	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
rubisco_form_IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR00381	0	0	0	13	28	6	7	0	0	0	11	5	15	32	8	48	49	0	9	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR00316	0	0	0	18	32	7	8	0	0	0	2	0	19	1	1	0	42	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR01702	0	0	0	6	31	3	6	0	0	0	15	6	31	12	10	4	56	0	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetate_citrate_lyase_aclA	0	0	0	2	1	4	4	0	0	0	0	0	0	3	11	1	0	0	1	10	14	1	0	16	4	0	0	0	0	0	0	0	0	0
acetate_citrate_lyase_aclB	0	0	0	2	2	10	11	0	0	0	1	0	28	8	18	2	9	1	5	24	21	1	0	16	4	0	0	0	0	0	0	0	0	7
TIGR01792	9	10	11	9	47	7	4	17	30	34	1	5	3	4	1	0	0	14	5	3	1	16	32	26	14	30	37	61	28	2	18	14	29	52
TIGR00192	9	10	11	9	47	7	4	22	34	38	4	0	12	17	2	1	0	14	14	19	1	18	22	20	9	25	28	59	20	2	18	13	35	52
TIGR00193	9	10	11	9	47	7	4	22	34	38	3	5	9	13	2	1	0	14	12	17	1	18	22	20	9	25	28	59	20	2	18	13	35	52
TIGR01428	153	170	160	6	28	1	0	123	107	124	6	7	1	4	1	4	0	1	2	1	3	20	100	96	79	67	108	29	105	77	54	35	39	70
TIGR02486	31	38	41	0	0	0	0	23	23	27	0	0	2	0	0	0	13	0	0	0	0	16	36	37	7	7	11	22	23	110	25	12	18	59
TIGR03479	9	8	8	0	0	0	0	0	0	0	3	12	0	1	1	17	0	1	1	2	14	15	0	0	0	0	0	0	0	0	0	0	0	7
TIGR03478	5	4	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	6	3	0	0	0	0	0	0	0	0	0	0	0	7
PF06778	43	44	42	0	0	0	0	21	19	22	0	0	0	0	0	0	4	0	0	0	0	17	11	14	4	12	18	15	20	0	0	3	16	25
TIGR02694	0	0	0	7	28	10	5	0	0	0	1	5	10	10	1	1	0	2	7	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0
TIGR02693	0	0	0	6	28	0	0	0	0	0	1	5	10	10	1	1	0	2	7	11	0	10	0	0	0	0	0	0	0	0	0	0	0	0
TIGR00014	14	15	15	15	43	28	24	23	34	37	13	52	20	12	5	1	2	108	74	19	13	44	56	46	33	69	73	85	68	64	30	98	72	57
TIGR02691	2	2	2	3	16	9	11	9	11	12	1	0	6	1	0	0	7	0	2	1	6	8	5	7	2	6	7	10	13	36	6	71	20	21
TIGR02689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03312	0	0	0	0	0	0	0	0	0	0	7	5	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03313	2	2	3	0	0	0	0	2	1	2	1	0	37	0	1	0	59	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03315	13	10	8	2	14	0	1	0	0	0	1	0	11	0	0	0	16	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12
TIGR01323	46	51	49	6	28	0	0	28	27	31	0	0	0	0	0	0	0	0	0	0	0	10	22	21	7	11	14	5	19	0	0	3	3	11
TIGR03888	10	13	14	6	28	0	0	14	15	16	0	0	0	0	0	0	0	0	0	0	0	8	20	20	3	7	11	3	13	0	0	4	3	11
TIGR03507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGR03509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
assA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
masD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lactate_dehydrogenase	9	17	12	8	42	1	1	22	26	30	10	29	31	11	16	9	62	238	145	18	35	23	32	24	50	21	16	143	11	8	89	36	28	14
phosphate_acetyltransferase	9	12	12	16	70	8	10	8	7	8	5	5	19	12	5	2	39	116	79	25	15	11	4	4	1	3	3	44	1	0	0	69	0	0
acetate_kinase	0	0	0	1	1	6	7	4	12	13	1	0	21	0	2	0	9	71	40	4	4	2	0	0	0	1	0	43	0	0	0	0	0	0
acetyl-CoA_synthetase	61	65	62	38	108	60	62	52	65	69	88	91	71	63	47	36	58	239	174	93	57	72	108	93	130	85	98	132	112	51	30	97	99	96
aldehyde_dehydrogenase	348	396	389	244	755	191	175	354	428	464	291	597	300	178	372	121	204	2341	1393	290	255	406	574	455	472	431	417	1164	368	478	661	1024	440	320
alcohol_dehydrogenase	348	397	370	427	653	208	202	356	432	479	415	542	208	206	188	163	200	2698	1555	354	352	489	388	343	336	371	381	1327	318	277	671	772	357	449
KEGG.B01	3	4	3	0	0	0	0	7	7	8	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	10	107	30	0	0
KEGG.B06	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	1	0	86	0	10	107	15	0	7
KEGG.B07	14	17	17	0	0	0	0	19	16	19	0	0	0	0	0	0	0	0	0	0	0	5	15	16	1	27	37	6	42	30	59	27	13	11
KEGG.B08	32	29	28	0	0	1	0	11	8	11	0	0	0	0	0	0	0	0	0	0	0	48	35	35	19	40	49	14	51	92	71	96	18	16
KEGG.B09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B14	31	33	30	0	0	0	0	13	12	15	0	0	0	0	0	0	0	0	0	0	0	12	15	16	1	11	13	3	17	25	6	7	7	0
KEGG.B15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B17	43	51	49	0	0	0	0	9	9	10	0	0	0	0	0	0	0	0	0	0	0	4	5	4	2	3	3	4	5	0	0	1	9	11
KEGG.B18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG.B20	99	99	95	81	112	45	52	90	101	100	101	171	169	52	96	48	151	168	126	79	70	96	187	150	129	163	185	202	178	247	84	131	185	207
KEGG.B21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	3	0	0	0	0	0
KEGG.B22	90	92	86	38	108	60	62	63	73	79	90	70	83	46	44	25	97	239	169	84	57	91	127	128	101	109	117	153	112	104	60	112	117	113
KEGG.B23	10	9	10	6	28	0	0	11	9	11	1	0	1	0	2	0	0	133	77	7	7	37	32	30	16	16	14	51	3	37	26	76	10	0
KEGG.C01	97	88	92	0	0	0	0	47	38	48	4	20	27	0	1	0	66	0	3	0	1	115	96	100	20	50	85	21	73	165	40	14	35	68
KEGG.C02	0	0	0	0	0	0	0	6	15	16	0	0	0	0	1	0	2	32	27	4	7	22	0	0	0	1	2	3	5	0	0	0	0	0
KEGG.C03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH1	1	2	3	6	28	0	0	5	4	4	9	6	45	4	8	5	84	0	6	1	0	10	0	0	0	4	5	14	10	11	64	0	0	0
GH10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	1	3	2	2	9	6	2	3	0	0	0	0	20
GH100	13	10	8	0	0	0	0	0	0	0	0	1	2	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GH102	4	7	5	10	47	8	5	7	15	11	1	5	4	8	1	1	1	16	17	13	4	7	8	6	4	8	5	1	5	0	0	1	7	14
GH103	19	23	24	35	108	72	54	21	42	41	20	52	46	41	16	5	2	165	119	56	18	47	32	24	19	50	52	104	65	99	54	25	43	20
GH104	0	0	0	4	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH105	24	23	21	0	0	0	0	13	12	13	17	52	9	0	7	0	0	0	1	0	0	3	1	6	0	3	2	0	1	0	0	2	0	0
